bank_transaction_id,bank_account_id,settlement_id,description,type,amount,currency,posted_at,value_date,status
BANK_000001,ACC_BOA_USD_02,SETTLE_000001,SETTLEMENT PAYOUT REF SETTLE_000001,CREDIT,22.41,USD,2026-01-11 17:18:49,2026-01-11,POSTED
BANK_000002,ACC_DB_EUR_01,SETTLE_000002,SETTLEMENT PAYOUT REF SETTLE_000002,CREDIT,374.49,EUR,2026-01-10 01:18:25,2026-01-10,POSTED
BANK_000004,ACC_TD_CAD_02,SETTLE_000004,SETTLEMENT PAYOUT REF SETTLE_000004,CREDIT,22.51,CAD,2026-03-01 13:42:48,2026-03-01,POSTED
BANK_000005,ACC_BNP_EUR_02,SETTLE_000005,SETTLEMENT PAYOUT REF SETTLE_000005,CREDIT,31.36,EUR,2026-02-19 07:44:37,2026-02-19,POSTED
BANK_000006,ACC_WF_USD_03,SETTLE_000006,SETTLEMENT PAYOUT REF SETTLE_000006,CREDIT,52.11,USD,2026-02-02 15:07:34,2026-02-02,POSTED
BANK_000007,ACC_ICICI_INR_02,SETTLE_000007,SETTLEMENT PAYOUT REF SETTLE_000007,CREDIT,2446.02,INR,2026-01-09 00:33:48,2026-01-09,POSTED
BANK_000008,ACC_JPM_USD_01,SETTLE_000008,SETTLEMENT PAYOUT REF SETTLE_000008,CREDIT,2901.48,USD,2026-03-12 01:57:49,2026-03-12,POSTED
BANK_000009,ACC_WF_USD_03,SETTLE_000009,SETTLEMENT PAYOUT REF SETTLE_000009,CREDIT,15.31,USD,2026-03-29 18:28:54,2026-03-29,POSTED
BANK_000010,ACC_JPM_USD_01,SETTLE_000010,SETTLEMENT PAYOUT REF SETTLE_000010,CREDIT,33.94,USD,2026-02-19 03:13:26,2026-02-19,POSTED
BANK_000011,ACC_JPM_USD_01,SETTLE_000011,SETTLEMENT PAYOUT REF SETTLE_000011,CREDIT,60.38,USD,2026-01-17 09:49:27,2026-01-17,POSTED
BANK_000012,ACC_BARC_GBP_01,SETTLE_000012,SETTLEMENT PAYOUT REF SETTLE_000012,CREDIT,326.46,GBP,2026-03-14 09:00:45,2026-03-14,POSTED
BANK_000013,ACC_HSBC_GBP_02,SETTLE_000013,SETTLEMENT PAYOUT REF SETTLE_000013,CREDIT,37.49,GBP,2026-02-09 09:57:30,2026-02-09,POSTED
BANK_000014,ACC_BNP_EUR_02,SETTLE_000014,SETTLEMENT PAYOUT REF SETTLE_000014,CREDIT,275.91,EUR,2026-01-15 03:07:05,2026-01-15,POSTED
BANK_000015,ACC_WF_USD_03,SETTLE_000015,SETTLEMENT PAYOUT REF SETTLE_000015,CREDIT,1827.66,USD,2026-04-02 20:07:19,2026-04-02,POSTED
BANK_000016,ACC_RBC_CAD_01,SETTLE_000016,SETTLEMENT PAYOUT REF SETTLE_000016,CREDIT,24.96,CAD,2026-03-27 03:09:19,2026-03-27,POSTED
BANK_000017,ACC_HSBC_GBP_02,SETTLE_000017,SETTLEMENT PAYOUT REF SETTLE_000017,CREDIT,540.54,GBP,2026-03-17 16:40:59,2026-03-17,POSTED
BANK_000018,ACC_HDFC_INR_01,SETTLE_000018,SETTLEMENT PAYOUT REF SETTLE_000018,CREDIT,15000.00,INR,2026-02-18 12:56:35,2026-02-18,POSTED
BANK_000019,ACC_ICICI_INR_02,SETTLE_000019,SETTLEMENT PAYOUT REF SETTLE_000019,CREDIT,976.02,INR,2026-03-28 07:20:05,2026-03-28,POSTED
BANK_000020,ACC_BNP_EUR_02,SETTLE_000020,SETTLEMENT PAYOUT REF SETTLE_000020,CREDIT,59.99,EUR,2026-01-11 23:30:21,2026-01-11,POSTED
BANK_000021,ACC_HSBC_GBP_02,SETTLE_000021,SETTLEMENT PAYOUT REF SETTLE_000021,CREDIT,76.98,GBP,2026-02-17 21:28:37,2026-02-17,POSTED
BANK_000022,ACC_JPM_USD_01,SETTLE_000022,SETTLEMENT PAYOUT REF SETTLE_000022,CREDIT,1842.88,USD,2026-03-07 02:47:36,2026-03-07,POSTED
BANK_000023,ACC_BARC_GBP_01,SETTLE_000023,SETTLEMENT PAYOUT REF SETTLE_000023,CREDIT,56.56,GBP,2026-01-07 06:12:38,2026-01-07,POSTED
BANK_000024,ACC_HDFC_INR_01,SETTLE_000024,SETTLEMENT PAYOUT REF SETTLE_000024,CREDIT,1499.00,INR,2026-04-02 06:00:40,2026-04-02,POSTED
BANK_000025,ACC_BNP_EUR_02,SETTLE_000025,SETTLEMENT PAYOUT REF SETTLE_000025,CREDIT,35.84,EUR,2026-03-18 15:38:26,2026-03-18,POSTED
BANK_000026,ACC_TD_CAD_02,SETTLE_000026,SETTLEMENT PAYOUT REF SETTLE_000026,CREDIT,493.21,CAD,2026-02-02 19:31:28,2026-02-02,POSTED
BANK_000027,ACC_DB_EUR_01,SETTLE_000027,SETTLEMENT PAYOUT REF SETTLE_000027,CREDIT,687.30,EUR,2026-03-29 10:59:38,2026-03-29,POSTED
BANK_000028,ACC_BNP_EUR_02,SETTLE_000028,SETTLEMENT PAYOUT REF SETTLE_000028,CREDIT,17.74,EUR,2026-03-11 01:56:42,2026-03-11,POSTED
BANK_000029,ACC_BNP_EUR_02,SETTLE_000029,SETTLEMENT PAYOUT REF SETTLE_000029,CREDIT,1439.27,EUR,2026-04-02 06:12:15,2026-04-02,POSTED
BANK_000030,ACC_JPM_USD_01,SETTLE_000030,SETTLEMENT PAYOUT REF SETTLE_000030,CREDIT,28.08,USD,2026-02-28 00:04:07,2026-02-28,POSTED
BANK_000031,ACC_HDFC_INR_01,SETTLE_000031,SETTLEMENT PAYOUT REF SETTLE_000031,CREDIT,14697.00,INR,2026-01-23 14:46:07,2026-01-23,POSTED
BANK_000032,ACC_HSBC_GBP_02,SETTLE_000032,SETTLEMENT PAYOUT REF SETTLE_000032,CREDIT,28.71,GBP,2026-03-27 22:16:11,2026-03-27,POSTED
BANK_000033,ACC_TD_CAD_02,SETTLE_000033,SETTLEMENT PAYOUT REF SETTLE_000033,CREDIT,551.18,CAD,2026-03-29 01:18:02,2026-03-29,POSTED
BANK_000034,ACC_BNP_EUR_02,SETTLE_000034,SETTLEMENT PAYOUT REF SETTLE_000034,CREDIT,66.27,EUR,2026-01-04 08:20:57,2026-01-04,POSTED
BANK_000036,ACC_HDFC_INR_01,SETTLE_000036,SETTLEMENT PAYOUT REF SETTLE_000036,CREDIT,9796.02,INR,2026-02-12 19:08:58,2026-02-12,POSTED
BANK_000037,ACC_HSBC_GBP_02,SETTLE_000037,SETTLEMENT PAYOUT REF SETTLE_000037,CREDIT,2799.52,GBP,2026-01-26 23:31:58,2026-01-26,POSTED
BANK_000038,ACC_JPM_USD_01,SETTLE_000038,SETTLEMENT PAYOUT REF SETTLE_000038,CREDIT,335.08,USD,2026-02-21 09:19:42,2026-02-21,POSTED
BANK_000039,ACC_BOA_USD_02,SETTLE_000039,SETTLEMENT PAYOUT REF SETTLE_000039,CREDIT,2247.85,USD,2026-02-09 12:09:37,2026-02-09,POSTED
BANK_000040,ACC_JPM_USD_01,SETTLE_000040,SETTLEMENT PAYOUT REF SETTLE_000040,CREDIT,45.22,USD,2026-02-19 15:34:30,2026-02-19,POSTED
BANK_000041,ACC_DB_EUR_01,SETTLE_000041,SETTLEMENT PAYOUT REF SETTLE_000041,CREDIT,64.01,EUR,2026-03-03 12:23:34,2026-03-03,POSTED
BANK_000042,ACC_RBC_CAD_01,SETTLE_000042,SETTLEMENT PAYOUT REF SETTLE_000042,CREDIT,2748.60,CAD,2026-01-21 00:38:16,2026-01-21,POSTED
BANK_000043,ACC_JPM_USD_01,SETTLE_000043,SETTLEMENT PAYOUT REF SETTLE_000043,CREDIT,61.81,USD,2026-02-15 15:34:06,2026-02-15,POSTED
BANK_000044,ACC_WF_USD_03,SETTLE_000044,SETTLEMENT PAYOUT REF SETTLE_000044,CREDIT,37.57,USD,2026-02-13 09:35:40,2026-02-13,POSTED
BANK_000045,ACC_HSBC_GBP_02,SETTLE_000045,SETTLEMENT PAYOUT REF SETTLE_000045,CREDIT,503.72,GBP,2026-01-07 19:33:42,2026-01-07,POSTED
BANK_000046,ACC_TD_CAD_02,SETTLE_000046,SETTLEMENT PAYOUT REF SETTLE_000046,CREDIT,36.10,CAD,2026-01-25 23:33:29,2026-01-25,POSTED
BANK_000047,ACC_WF_USD_03,SETTLE_000047,SETTLEMENT PAYOUT REF SETTLE_000047,CREDIT,455.03,USD,2026-01-24 22:51:56,2026-01-24,POSTED
BANK_000048,ACC_HSBC_GBP_02,SETTLE_000048,SETTLEMENT PAYOUT REF SETTLE_000048,CREDIT,26.85,GBP,2026-03-13 16:19:34,2026-03-13,POSTED
BANK_000049,ACC_ICICI_INR_02,SETTLE_000049,SETTLEMENT PAYOUT REF SETTLE_000049,CREDIT,491.01,INR,2026-03-27 09:16:26,2026-03-27,POSTED
BANK_000050,ACC_WF_USD_03,SETTLE_000050,SETTLEMENT PAYOUT REF SETTLE_000050,CREDIT,28.46,USD,2026-02-21 10:03:46,2026-02-21,POSTED
BANK_000051,ACC_BNP_EUR_02,SETTLE_000051,SETTLEMENT PAYOUT REF SETTLE_000051,CREDIT,34.20,EUR,2026-01-16 21:32:03,2026-01-16,POSTED
BANK_000052,ACC_ICICI_INR_02,SETTLE_000052,SETTLEMENT PAYOUT REF SETTLE_000052,CREDIT,15000.00,INR,2026-01-16 16:52:06,2026-01-16,POSTED
BANK_000053,ACC_WF_USD_03,SETTLE_000053,SETTLEMENT PAYOUT REF SETTLE_000053,CREDIT,21.63,USD,2026-01-25 21:38:27,2026-01-25,POSTED
BANK_000054,ACC_BARC_GBP_01,SETTLE_000054,SETTLEMENT PAYOUT REF SETTLE_000054,CREDIT,98.74,GBP,2026-02-15 11:46:39,2026-02-15,POSTED
BANK_000055,ACC_RBC_CAD_01,SETTLE_000055,SETTLEMENT PAYOUT REF SETTLE_000055,CREDIT,502.44,CAD,2026-02-25 19:54:38,2026-02-25,POSTED
BANK_000056,ACC_ICICI_INR_02,SETTLE_000056,SETTLEMENT PAYOUT REF SETTLE_000056,CREDIT,1466.02,INR,2026-03-03 09:44:35,2026-03-03,POSTED
BANK_000057,ACC_BNP_EUR_02,SETTLE_000057,SETTLEMENT PAYOUT REF SETTLE_000057,CREDIT,511.55,EUR,2026-02-11 03:59:09,2026-02-11,POSTED
BANK_000058,ACC_BOA_USD_02,SETTLE_000058,SETTLEMENT PAYOUT REF SETTLE_000058,CREDIT,230.80,USD,2026-02-14 03:54:41,2026-02-14,POSTED
BANK_000059,ACC_BARC_GBP_01,SETTLE_000059,SETTLEMENT PAYOUT REF SETTLE_000059,CREDIT,32.06,GBP,2026-02-08 23:09:32,2026-02-08,POSTED
BANK_000060,ACC_BNP_EUR_02,SETTLE_000060,SETTLEMENT PAYOUT REF SETTLE_000060,CREDIT,499.59,EUR,2026-03-15 14:53:17,2026-03-15,POSTED
BANK_000061,ACC_HSBC_GBP_02,SETTLE_000061,SETTLEMENT PAYOUT REF SETTLE_000061,CREDIT,1142.50,GBP,2026-01-10 13:59:29,2026-01-10,POSTED
BANK_000062,ACC_DB_EUR_01,SETTLE_000062,SETTLEMENT PAYOUT REF SETTLE_000062,CREDIT,467.72,EUR,2026-02-22 04:28:38,2026-02-22,POSTED
BANK_000063,ACC_HDFC_INR_01,SETTLE_000063,SETTLEMENT PAYOUT REF SETTLE_000063,CREDIT,1479.01,INR,2026-03-12 07:14:01,2026-03-12,POSTED
BANK_000064,ACC_BARC_GBP_01,SETTLE_000064,SETTLEMENT PAYOUT REF SETTLE_000064,CREDIT,25.31,GBP,2026-03-08 18:59:12,2026-03-08,POSTED
BANK_000065,ACC_HSBC_GBP_02,SETTLE_000065,SETTLEMENT PAYOUT REF SETTLE_000065,CREDIT,584.94,GBP,2026-03-25 03:27:48,2026-03-25,POSTED
BANK_000066,ACC_BARC_GBP_01,SETTLE_000066,SETTLEMENT PAYOUT REF SETTLE_000066,CREDIT,346.34,GBP,2026-01-14 04:38:10,2026-01-14,POSTED
BANK_000067,ACC_DB_EUR_01,SETTLE_000067,SETTLEMENT PAYOUT REF SETTLE_000067,CREDIT,498.58,EUR,2026-01-03 19:41:10,2026-01-03,POSTED
BANK_000068,ACC_DB_EUR_01,SETTLE_000068,SETTLEMENT PAYOUT REF SETTLE_000068,CREDIT,592.57,EUR,2026-01-21 14:21:01,2026-01-21,POSTED
BANK_000069,ACC_RBC_CAD_01,SETTLE_000069,SETTLEMENT PAYOUT REF SETTLE_000069,CREDIT,2258.20,CAD,2026-03-23 01:31:46,2026-03-23,POSTED
BANK_000070,ACC_DB_EUR_01,SETTLE_000070,SETTLEMENT PAYOUT REF SETTLE_000070,CREDIT,18.34,EUR,2026-02-09 03:10:42,2026-02-09,POSTED
BANK_000071,ACC_BOA_USD_02,SETTLE_000071,SETTLEMENT PAYOUT REF SETTLE_000071,CREDIT,15.01,USD,2026-03-21 07:59:33,2026-03-21,POSTED
BANK_000072,ACC_BOA_USD_02,SETTLE_000072,SETTLEMENT PAYOUT REF SETTLE_000072,CREDIT,445.48,USD,2026-03-10 14:51:21,2026-03-10,POSTED
BANK_000073,ACC_BOA_USD_02,SETTLE_000073,SETTLEMENT PAYOUT REF SETTLE_000073,CREDIT,215.42,USD,2026-01-03 21:11:31,2026-01-03,POSTED
BANK_000074,ACC_HSBC_GBP_02,SETTLE_000074,SETTLEMENT PAYOUT REF SETTLE_000074,CREDIT,55.80,GBP,2026-02-22 14:50:26,2026-02-22,POSTED
BANK_000075,ACC_BNP_EUR_02,SETTLE_000075,SETTLEMENT PAYOUT REF SETTLE_000075,CREDIT,75.08,EUR,2026-02-19 17:03:30,2026-02-19,POSTED
BANK_000076,ACC_DB_EUR_01,SETTLE_000076,SETTLEMENT PAYOUT REF SETTLE_000076,CREDIT,25.67,EUR,2026-03-13 19:57:15,2026-03-13,POSTED
BANK_000077,ACC_HDFC_INR_01,SETTLE_000077,SETTLEMENT PAYOUT REF SETTLE_000077,CREDIT,985.01,INR,2026-02-19 06:32:31,2026-02-19,POSTED
BANK_000078,ACC_ICICI_INR_02,SETTLE_000078,SETTLEMENT PAYOUT REF SETTLE_000078,CREDIT,1599.00,INR,2026-03-18 21:38:10,2026-03-18,POSTED
BANK_000079,ACC_ICICI_INR_02,SETTLE_000079,SETTLEMENT PAYOUT REF SETTLE_000079,CREDIT,14667.60,INR,2026-03-29 09:46:39,2026-03-29,POSTED
BANK_000080,ACC_BNP_EUR_02,SETTLE_000080,SETTLEMENT PAYOUT REF SETTLE_000080,CREDIT,26.19,EUR,2026-01-28 14:44:22,2026-01-28,POSTED
BANK_000082,ACC_HDFC_INR_01,SETTLE_000082,SETTLEMENT PAYOUT REF SETTLE_000082,CREDIT,491.01,INR,2026-02-23 02:06:58,2026-02-23,POSTED
BANK_000083,ACC_BNP_EUR_02,SETTLE_000083,SETTLEMENT PAYOUT REF SETTLE_000083,CREDIT,18.92,EUR,2026-01-17 18:31:54,2026-01-17,POSTED
