payment_id,order_id,invoice_id,customer_id,merchant_id,payment_method,amount,currency,status,initiated_at,completed_at
PAY_000001,ORD_000001,INV_000001,CUST_001023,MERCH_0075,DEBIT_CARD,23.00,USD,COMPLETED,2026-01-09 15:18:37,2026-01-09 15:18:41
PAY_000002_DUP,ORD_000002,INV_000002,CUST_003538,MERCH_0079,CREDIT_CARD,382.00,EUR,COMPLETED,2026-01-07 17:18:23,2026-01-07 17:18:43
PAY_000002,ORD_000002,INV_000002,CUST_003538,MERCH_0079,CREDIT_CARD,382.00,EUR,COMPLETED,2026-01-07 17:18:08,2026-01-07 17:18:23
PAY_000003,ORD_000003,INV_000003,CUST_000087,MERCH_0077,SEPA,184.80,EUR,COMPLETED,2026-02-14 08:31:29,2026-02-14 08:31:53
PAY_000004,ORD_000004,INV_000004,CUST_002689,MERCH_0067,CREDIT_CARD,23.49,CAD,COMPLETED,2026-02-27 09:42:15,2026-02-27 09:42:44
PAY_000005,ORD_000005,INV_000005,CUST_003449,MERCH_0046,CREDIT_CARD,32.80,EUR,COMPLETED,2026-02-17 01:44:30,2026-02-17 01:44:34
PAY_000006,ORD_000006,INV_000006,CUST_002931,MERCH_0066,CREDIT_CARD,54.50,USD,COMPLETED,2026-01-31 13:07:16,2026-01-31 13:07:28
PAY_000008,ORD_000008,INV_000008,CUST_003898,MERCH_0025,CREDIT_CARD,2969.99,USD,COMPLETED,2026-03-09 18:57:30,2026-03-09 18:57:42
PAY_000009,ORD_000009,INV_000009,CUST_003722,MERCH_0014,DEBIT_CARD,15.80,USD,COMPLETED,2026-03-27 09:28:25,2026-03-27 09:28:50
PAY_000010,ORD_000010,INV_000010,CUST_001959,MERCH_0028,DEBIT_CARD,38.25,USD,COMPLETED,2026-02-17 00:13:11,2026-02-17 00:13:25
PAY_000011,ORD_000011,INV_000011,CUST_000944,MERCH_0072,CREDIT_CARD,61.80,USD,COMPLETED,2026-01-15 03:49:14,2026-01-15 03:49:23
PAY_000012,ORD_000012,INV_000012,CUST_002147,MERCH_0029,CREDIT_CARD,332.99,GBP,COMPLETED,2026-03-12 03:00:39,2026-03-12 03:00:42
PAY_000013,ORD_000013,INV_000013,CUST_001125,MERCH_0003,CREDIT_CARD,41.49,GBP,COMPLETED,2026-02-07 02:57:14,2026-02-07 02:57:24
PAY_000014,ORD_000014,INV_000014,CUST_000536,MERCH_0092,SEPA,277.50,EUR,COMPLETED,2026-01-12 20:06:34,2026-01-12 20:06:59
PAY_000015,ORD_000015,INV_000015,CUST_002004,MERCH_0082,DEBIT_CARD,1855.75,USD,COMPLETED,2026-03-31 18:07:02,2026-03-31 18:07:15
PAY_000017,ORD_000017,INV_000017,CUST_003180,MERCH_0066,CREDIT_CARD,556.99,GBP,COMPLETED,2026-03-15 06:40:28,2026-03-15 06:40:53
PAY_000018,ORD_000018,INV_000018,CUST_004054,MERCH_0092,UPI,15000.00,INR,COMPLETED,2026-02-16 07:56:11,2026-02-16 07:56:34
PAY_000019,ORD_000019,INV_000019,CUST_003704,MERCH_0026,CREDIT_CARD,999.00,INR,COMPLETED,2026-03-26 03:19:40,2026-03-26 03:19:55
PAY_000020,ORD_000020,INV_000020,CUST_004511,MERCH_0033,SEPA,60.49,EUR,COMPLETED,2026-01-09 13:30:09,2026-01-09 13:30:13
PAY_000021,ORD_000021,INV_000021,CUST_003696,MERCH_0055,CREDIT_CARD,78.25,GBP,COMPLETED,2026-02-15 17:28:21,2026-02-15 17:28:36
PAY_000022,ORD_000022,INV_000022,CUST_002176,MERCH_0030,ACH,1857.99,USD,COMPLETED,2026-03-04 23:47:08,2026-03-04 23:47:27
PAY_000023,ORD_000023,INV_000023,CUST_002952,MERCH_0010,CREDIT_CARD,57.75,GBP,COMPLETED,2026-01-05 01:12:07,2026-01-05 01:12:33
PAY_000024,ORD_000024,INV_000024,CUST_004450,MERCH_0097,UPI,1499.00,INR,COMPLETED,2026-03-30 22:00:19,2026-03-30 22:00:33
PAY_000025,ORD_000025,INV_000025,CUST_004200,MERCH_0061,SEPA,41.25,EUR,COMPLETED,2026-03-16 05:37:57,2026-03-16 05:38:16
PAY_000026,ORD_000026,INV_000026,CUST_000704,MERCH_0044,CREDIT_CARD,508.25,CAD,COMPLETED,2026-01-31 17:31:02,2026-01-31 17:31:19
PAY_000027,ORD_000027,INV_000027,CUST_004731,MERCH_0018,SEPA,690.95,EUR,COMPLETED,2026-03-27 03:59:08,2026-03-27 03:59:32
PAY_000029,ORD_000029,INV_000029,CUST_004940,MERCH_0073,CREDIT_CARD,1487.25,EUR,COMPLETED,2026-03-31 01:11:48,2026-03-31 01:12:08
PAY_000030,ORD_000030,INV_000030,CUST_002694,MERCH_0014,CREDIT_CARD,28.95,USD,COMPLETED,2026-02-25 15:03:58,2026-02-25 15:04:06
PAY_000031,ORD_000031,INV_000031,CUST_002326,MERCH_0050,CREDIT_CARD,15000.00,INR,COMPLETED,2026-01-21 07:45:49,2026-01-21 07:46:06
PAY_000032,ORD_000032,INV_000032,CUST_002677,MERCH_0022,CREDIT_CARD,29.25,GBP,COMPLETED,2026-03-25 19:15:47,2026-03-25 19:16:03
PAY_000033,ORD_000033,INV_000033,CUST_001065,MERCH_0027,CREDIT_CARD,567.95,CAD,COMPLETED,2026-03-26 20:17:36,2026-03-26 20:17:57
PAY_000034,ORD_000034,INV_000034,CUST_001653,MERCH_0036,SEPA,66.80,EUR,COMPLETED,2026-01-02 01:20:38,2026-01-02 01:20:48
PAY_000035,ORD_000035,INV_000035,CUST_003791,MERCH_0059,DEBIT_CARD,73.49,USD,COMPLETED,2026-02-26 06:29:11,2026-02-26 06:29:40
