refund_id,payment_id,order_id,processor_transaction_id,processor_refund_id,refund_amount,currency,reason,status,initiated_at,completed_at
REF_000022,PAY_000022,ORD_000022,PROC_000022,PRREF_000022,929.00,USD,PARTIAL_RETURN,COMPLETED,2026-03-07 23:47:36,2026-03-07 23:52:36
REF_000030,PAY_000030,ORD_000030,PROC_000030,PRREF_000030,5.79,USD,PARTIAL_RETURN,COMPLETED,2026-02-28 15:04:07,2026-02-28 15:09:07
REF_000037,PAY_000037,ORD_000037,PROC_000037,PRREF_000037,2140.46,GBP,PARTIAL_RETURN,COMPLETED,2026-01-30 14:31:58,2026-01-30 14:36:58
REF_000070,PAY_000070,ORD_000070,PROC_000070,PRREF_000070,3.79,EUR,CUSTOMER_SERVICE_ADJUSTMENT,COMPLETED,2026-02-09 00:10:42,2026-02-09 00:15:42
REF_000071,PAY_000071,ORD_000071,PROC_000071,PRREF_000071,11.62,USD,ITEM_UNAVAILABLE,COMPLETED,2026-03-22 22:59:33,2026-03-22 23:04:33
REF_000077,PAY_000077,ORD_000077,PROC_000077,PRREF_000077,749.25,INR,PARTIAL_RETURN,COMPLETED,2026-02-24 03:32:31,2026-02-24 03:37:31
REF_000082,PAY_000082,ORD_000082,PROC_000082,PRREF_000082,499.00,INR,UNSATISFIED_CUSTOMER,COMPLETED,2026-02-22 19:06:58,2026-02-22 19:11:58
REF_000095,PAY_000095,ORD_000095,PROC_000095,PRREF_000095,8.30,USD,PARTIAL_RETURN,COMPLETED,2026-02-15 18:07:55,2026-02-15 18:12:55
REF_000096,PAY_000096,ORD_000096,PROC_000096,PRREF_000096,1673.12,GBP,ITEM_UNAVAILABLE,COMPLETED,2026-03-02 04:36:38,2026-03-02 04:41:38
REF_000131,PAY_000131,ORD_000131,PROC_000131,PRREF_000131,34.12,EUR,PARTIAL_RETURN,COMPLETED,2026-03-10 11:41:56,2026-03-10 11:46:56
REF_000196,PAY_000196,ORD_000196,PROC_000196,PRREF_000196,468.75,CAD,FULL_RETURN,COMPLETED,2026-01-31 03:53:11,2026-01-31 03:58:11
REF_000200,PAY_000200,ORD_000200,PROC_000200,PRREF_000200,9.40,EUR,ITEM_UNAVAILABLE,COMPLETED,2026-03-07 22:44:30,2026-03-07 22:49:30
REF_000208,PAY_000208,ORD_000208,PROC_000208,PRREF_000208,157.95,EUR,FULL_RETURN,COMPLETED,2026-01-25 10:43:58,2026-01-25 10:48:58
REF_000226,PAY_000226,ORD_000226,PROC_000226,PRREF_000226,3749.25,INR,PARTIAL_RETURN,COMPLETED,2026-02-01 04:14:44,2026-02-01 04:19:44
REF_000230,PAY_000230,ORD_000230,PROC_000230,PRREF_000230,100.20,USD,ITEM_UNAVAILABLE,COMPLETED,2026-02-22 08:06:20,2026-02-22 08:11:20
REF_000297,PAY_000297,ORD_000297,PROC_000297,PRREF_000297,2499.00,INR,FRAUD_SUSPECTED,COMPLETED,2026-03-03 02:16:13,2026-03-03 02:21:13
REF_000312,PAY_000312,ORD_000312,PROC_000312,PRREF_000312,18.90,GBP,PARTIAL_RETURN,COMPLETED,2026-03-08 22:29:21,2026-03-08 22:34:21
REF_000327,PAY_000327,ORD_000327,PROC_000327,PRREF_000327,999.00,INR,UNSATISFIED_CUSTOMER,COMPLETED,2026-02-03 16:04:44,2026-02-03 16:09:44
REF_000339,PAY_000339,ORD_000339,PROC_000339,PRREF_000339,16.75,GBP,FRAUD_SUSPECTED,COMPLETED,2026-03-07 02:47:35,2026-03-07 02:52:35
