settlement_id,processor_id,merchant_id,currency,gross_amount,fee_amount,net_amount,transaction_count,settlement_date,status
SETTLE_000001,STRIPE,MERCH_0075,USD,23.00,0.59,22.41,1,2026-01-10,SETTLED
SETTLE_000002,STRIPE,MERCH_0079,EUR,382.00,7.51,374.49,1,2026-01-08,SETTLED
SETTLE_000004,STRIPE,MERCH_0067,CAD,23.49,0.98,22.51,1,2026-02-28,SETTLED
SETTLE_000005,PAYPAL,MERCH_0046,EUR,32.80,1.44,31.36,1,2026-02-18,SETTLED
SETTLE_000006,PAYPAL,MERCH_0066,USD,54.50,2.39,52.11,1,2026-02-01,SETTLED
SETTLE_000007,STRIPE,MERCH_0076,INR,2499.00,52.98,2446.02,1,2026-01-07,SETTLED
SETTLE_000008,CHECKOUT_COM,MERCH_0025,USD,2969.99,68.51,2901.48,1,2026-03-10,SETTLED
SETTLE_000009,STRIPE,MERCH_0014,USD,15.80,0.49,15.31,1,2026-03-28,SETTLED
SETTLE_000010,ADYEN,MERCH_0028,USD,38.25,4.31,33.94,1,2026-02-18,SETTLED
SETTLE_000011,ADYEN,MERCH_0072,USD,61.80,1.42,60.38,1,2026-01-16,SETTLED
SETTLE_000012,STRIPE,MERCH_0029,GBP,332.99,6.53,326.46,1,2026-03-13,SETTLED
SETTLE_000013,PAYPAL,MERCH_0003,GBP,41.49,4.00,37.49,1,2026-02-08,SETTLED
SETTLE_000014,STRIPE,MERCH_0092,EUR,277.50,1.59,275.91,1,2026-01-13,SETTLED
SETTLE_000015,STRIPE,MERCH_0082,USD,1855.75,28.09,1827.66,1,2026-04-01,SETTLED
SETTLE_000016,CHECKOUT_COM,MERCH_0036,CAD,25.80,0.84,24.96,1,2026-03-26,SETTLED
SETTLE_000017,PAYPAL,MERCH_0066,GBP,556.99,16.45,540.54,1,2026-03-16,SETTLED
SETTLE_000018,STRIPE,MERCH_0092,INR,15000.00,0.00,15000.00,1,2026-02-17,SETTLED
SETTLE_000019,STRIPE,MERCH_0026,INR,999.00,22.98,976.02,1,2026-03-27,SETTLED
SETTLE_000020,STRIPE,MERCH_0033,EUR,60.49,0.50,59.99,1,2026-01-10,SETTLED
SETTLE_000021,ADYEN,MERCH_0055,GBP,78.25,1.27,76.98,1,2026-02-16,SETTLED
SETTLE_000022,STRIPE,MERCH_0030,USD,1857.99,15.11,1842.88,1,2026-03-05,SETTLED
SETTLE_000023,CHECKOUT_COM,MERCH_0010,GBP,57.75,1.19,56.56,1,2026-01-06,SETTLED
SETTLE_000024,STRIPE,MERCH_0097,INR,1499.00,0.00,1499.00,1,2026-03-31,SETTLED
SETTLE_000025,STRIPE,MERCH_0061,EUR,41.25,5.41,35.84,1,2026-03-17,SETTLED
SETTLE_000026,STRIPE,MERCH_0044,CAD,508.25,15.04,493.21,1,2026-02-01,SETTLED
SETTLE_000027,STRIPE,MERCH_0018,EUR,690.95,3.65,687.30,1,2026-03-28,SETTLED
SETTLE_000028,ADYEN,MERCH_0054,EUR,17.95,0.21,17.74,1,2026-03-09,SETTLED
SETTLE_000029,PAYPAL,MERCH_0073,EUR,1487.25,47.98,1439.27,1,2026-04-01,SETTLED
SETTLE_000030,CHECKOUT_COM,MERCH_0014,USD,28.95,0.87,28.08,1,2026-02-26,SETTLED
SETTLE_000031,STRIPE,MERCH_0050,INR,15000.00,303.00,14697.00,1,2026-01-22,SETTLED
SETTLE_000032,ADYEN,MERCH_0022,GBP,29.25,0.54,28.71,1,2026-03-26,SETTLED
SETTLE_000033,STRIPE,MERCH_0027,CAD,567.95,16.77,551.18,1,2026-03-27,SETTLED
SETTLE_000034,STRIPE,MERCH_0036,EUR,66.80,0.53,66.27,1,2026-01-03,SETTLED
SETTLE_000036,STRIPE,MERCH_0079,INR,9999.00,202.98,9796.02,1,2026-02-11,SETTLED
SETTLE_000037,STRIPE,MERCH_0051,GBP,2853.95,54.43,2799.52,1,2026-01-25,SETTLED
SETTLE_000038,ADYEN,MERCH_0010,USD,339.25,4.17,335.08,1,2026-02-20,SETTLED
SETTLE_000039,ADYEN,MERCH_0082,USD,2275.25,27.40,2247.85,1,2026-02-08,SETTLED
SETTLE_000040,CHECKOUT_COM,MERCH_0086,USD,46.49,1.27,45.22,1,2026-02-18,SETTLED
SETTLE_000041,STRIPE,MERCH_0022,EUR,65.50,1.49,64.01,1,2026-03-02,SETTLED
SETTLE_000042,STRIPE,MERCH_0057,CAD,2831.00,82.40,2748.60,1,2026-01-19,SETTLED
SETTLE_000043,STRIPE,MERCH_0050,USD,63.00,1.19,61.81,1,2026-02-14,SETTLED
SETTLE_000044,STRIPE,MERCH_0012,USD,39.00,1.43,37.57,1,2026-02-12,SETTLED
SETTLE_000045,ADYEN,MERCH_0022,GBP,511.49,7.77,503.72,1,2026-01-06,SETTLED
SETTLE_000046,STRIPE,MERCH_0055,CAD,37.49,1.39,36.10,1,2026-01-24,SETTLED
SETTLE_000047,STRIPE,MERCH_0028,USD,458.95,3.92,455.03,1,2026-01-23,SETTLED
SETTLE_000048,CHECKOUT_COM,MERCH_0064,GBP,27.50,0.65,26.85,1,2026-03-12,SETTLED
SETTLE_000049,PAYPAL,MERCH_0023,INR,499.00,7.99,491.01,1,2026-03-26,SETTLED
SETTLE_000050,PAYPAL,MERCH_0066,USD,30.00,1.54,28.46,1,2026-02-20,SETTLED
SETTLE_000051,ADYEN,MERCH_0011,EUR,34.80,0.60,34.20,1,2026-01-15,SETTLED
SETTLE_000052,STRIPE,MERCH_0095,INR,15000.00,0.00,15000.00,1,2026-01-15,SETTLED
SETTLE_000053,ADYEN,MERCH_0097,USD,21.99,0.36,21.63,1,2026-01-24,SETTLED
SETTLE_000054,PAYPAL,MERCH_0042,GBP,102.00,3.26,98.74,1,2026-02-14,SETTLED
SETTLE_000055,STRIPE,MERCH_0023,CAD,517.75,15.31,502.44,1,2026-02-24,SETTLED
SETTLE_000056,STRIPE,MERCH_0055,INR,1499.00,32.98,1466.02,1,2026-03-02,SETTLED
SETTLE_000057,ADYEN,MERCH_0011,EUR,513.50,1.95,511.55,1,2026-02-09,SETTLED
SETTLE_000058,STRIPE,MERCH_0003,USD,237.95,7.15,230.80,1,2026-02-12,SETTLED
SETTLE_000059,CHECKOUT_COM,MERCH_0059,GBP,32.80,0.74,32.06,1,2026-02-07,SETTLED
SETTLE_000060,ADYEN,MERCH_0002,EUR,506.80,7.21,499.59,1,2026-03-14,SETTLED
SETTLE_000061,ADYEN,MERCH_0083,GBP,1160.00,17.50,1142.50,1,2026-01-09,SETTLED
SETTLE_000062,CHECKOUT_COM,MERCH_0099,EUR,475.99,8.27,467.72,1,2026-02-20,SETTLED
SETTLE_000063,PAYPAL,MERCH_0047,INR,1499.00,19.99,1479.01,1,2026-03-11,SETTLED
SETTLE_000064,STRIPE,MERCH_0078,GBP,26.00,0.69,25.31,1,2026-03-07,SETTLED
SETTLE_000065,ADYEN,MERCH_0055,GBP,593.95,9.01,584.94,1,2026-03-23,SETTLED
SETTLE_000066,PAYPAL,MERCH_0097,GBP,356.99,10.65,346.34,1,2026-01-12,SETTLED
SETTLE_000067,STRIPE,MERCH_0022,EUR,508.49,9.91,498.58,1,2026-01-02,SETTLED
SETTLE_000068,STRIPE,MERCH_0023,EUR,595.75,3.18,592.57,1,2026-01-20,SETTLED
SETTLE_000069,STRIPE,MERCH_0008,CAD,2325.95,67.75,2258.20,1,2026-03-21,SETTLED
SETTLE_000070,STRIPE,MERCH_0038,EUR,18.95,0.61,18.34,1,2026-02-08,SETTLED
