policy_id,processor_id,payment_method,currency,fixed_fee,rate_pct,effective_from,effective_to
POL_STP_CC_USD,STRIPE,CREDIT_CARD,USD,0.3,2.9,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_STP_DC_USD,STRIPE,DEBIT_CARD,USD,0.25,1.5,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_STP_ACH_USD,STRIPE,ACH,USD,0.25,0.8,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_STP_CC_EUR,STRIPE,CREDIT_CARD,EUR,0.25,1.9,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_STP_SEPA_EUR,STRIPE,SEPA,EUR,0.2,0.5,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_STP_CC_GBP,STRIPE,CREDIT_CARD,GBP,0.2,1.9,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_STP_CC_CAD,STRIPE,CREDIT_CARD,CAD,0.3,2.9,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_STP_CC_INR,STRIPE,CREDIT_CARD,INR,3.0,2.0,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_STP_UPI_INR,STRIPE,UPI,INR,0.0,0.0,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_ADY_CC_USD,ADYEN,CREDIT_CARD,USD,0.12,2.1,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_ADY_DC_USD,ADYEN,DEBIT_CARD,USD,0.1,1.2,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_ADY_CC_EUR,ADYEN,CREDIT_CARD,EUR,0.11,1.4,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_ADY_SEPA_EUR,ADYEN,SEPA,EUR,0.15,0.35,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_ADY_CC_GBP,ADYEN,CREDIT_CARD,GBP,0.1,1.5,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_CKO_CC_USD,CHECKOUT_COM,CREDIT_CARD,USD,0.2,2.3,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_CKO_CC_EUR,CHECKOUT_COM,CREDIT_CARD,EUR,0.18,1.7,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_CKO_CC_CAD,CHECKOUT_COM,CREDIT_CARD,CAD,0.22,2.4,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_CKO_CC_GBP,CHECKOUT_COM,CREDIT_CARD,GBP,0.15,1.8,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_PYP_CC_USD,PAYPAL,CREDIT_CARD,USD,0.49,3.49,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_PYP_CC_EUR,PAYPAL,CREDIT_CARD,EUR,0.39,3.2,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_PYP_CC_GBP,PAYPAL,CREDIT_CARD,GBP,0.3,2.9,2025-01-01 00:00:00,2027-12-31 23:59:59
POL_PYP_UPI_INR,PAYPAL,UPI,INR,2.0,1.2,2025-01-01 00:00:00,2027-12-31 23:59:59
