invoice_id,order_id,customer_id,merchant_id,amount,currency,status,issued_at,due_at
INV_000001,ORD_000001,CUST_001023,MERCH_0075,23.00,USD,PAID,2026-01-09 15:05:37,2026-02-08 15:05:37
INV_000002,ORD_000002,CUST_003538,MERCH_0079,382.00,EUR,PAID,2026-01-07 16:49:08,2026-02-06 16:49:08
INV_000003,ORD_000003,CUST_000087,MERCH_0077,184.80,EUR,PAID,2026-02-14 07:45:29,2026-03-16 07:45:29
INV_000004,ORD_000004,CUST_002689,MERCH_0067,23.49,CAD,PAID,2026-02-27 08:47:15,2026-03-29 08:47:15
INV_000005,ORD_000005,CUST_003449,MERCH_0046,32.80,EUR,PAID,2026-02-17 01:37:30,2026-03-19 01:37:30
INV_000006,ORD_000006,CUST_002931,MERCH_0066,54.50,USD,PAID,2026-01-31 12:41:16,2026-03-02 12:41:16
INV_000008,ORD_000008,CUST_003898,MERCH_0025,2969.99,USD,PAID,2026-03-09 18:13:30,2026-04-08 18:13:30
INV_000009,ORD_000009,CUST_003722,MERCH_0014,15.80,USD,PAID,2026-03-27 09:09:25,2026-04-26 09:09:25
INV_000010,ORD_000010,CUST_001959,MERCH_0028,38.25,USD,PAID,2026-02-17 00:08:11,2026-03-19 00:08:11
INV_000011,ORD_000011,CUST_000944,MERCH_0072,61.80,USD,PAID,2026-01-15 03:43:14,2026-02-14 03:43:14
INV_000012,ORD_000012,CUST_002147,MERCH_0029,332.99,GBP,PAID,2026-03-12 02:43:39,2026-04-11 02:43:39
INV_000013,ORD_000013,CUST_001125,MERCH_0003,41.49,GBP,PAID,2026-02-07 02:23:14,2026-03-09 02:23:14
INV_000014,ORD_000014,CUST_000536,MERCH_0092,277.50,EUR,PAID,2026-01-12 19:37:34,2026-02-11 19:37:34
INV_000015,ORD_000015,CUST_002004,MERCH_0082,1855.75,USD,PAID,2026-03-31 17:53:02,2026-04-30 17:53:02
INV_000017,ORD_000017,CUST_003180,MERCH_0066,556.99,GBP,PAID,2026-03-15 06:15:28,2026-04-14 06:15:28
INV_000018,ORD_000018,CUST_004054,MERCH_0092,15000.00,INR,PAID,2026-02-16 07:14:11,2026-03-18 07:14:11
INV_000019,ORD_000019,CUST_003704,MERCH_0026,999.00,INR,PAID,2026-03-26 02:47:40,2026-04-25 02:47:40
INV_000020,ORD_000020,CUST_004511,MERCH_0033,60.49,EUR,PAID,2026-01-09 12:48:09,2026-02-08 12:48:09
INV_000021,ORD_000021,CUST_003696,MERCH_0055,78.25,GBP,PAID,2026-02-15 17:06:21,2026-03-17 17:06:21
INV_000022,ORD_000022,CUST_002176,MERCH_0030,1857.99,USD,PAID,2026-03-04 23:10:08,2026-04-03 23:10:08
INV_000023,ORD_000023,CUST_002952,MERCH_0010,57.75,GBP,PAID,2026-01-05 00:48:07,2026-02-04 00:48:07
INV_000024,ORD_000024,CUST_004450,MERCH_0097,1499.00,INR,PAID,2026-03-30 21:03:19,2026-04-29 21:03:19
INV_000025,ORD_000025,CUST_004200,MERCH_0061,41.25,EUR,PAID,2026-03-16 05:18:57,2026-04-15 05:18:57
INV_000026,ORD_000026,CUST_000704,MERCH_0044,508.25,CAD,PAID,2026-01-31 16:58:02,2026-03-02 16:58:02
INV_000027,ORD_000027,CUST_004731,MERCH_0018,690.95,EUR,PAID,2026-03-27 03:03:08,2026-04-26 03:03:08
INV_000029,ORD_000029,CUST_004940,MERCH_0073,1487.25,EUR,PAID,2026-03-31 01:02:48,2026-04-30 01:02:48
INV_000030,ORD_000030,CUST_002694,MERCH_0014,28.95,USD,PAID,2026-02-25 14:23:58,2026-03-27 14:23:58
INV_000031,ORD_000031,CUST_002326,MERCH_0050,15000.00,INR,PAID,2026-01-21 07:36:49,2026-02-20 07:36:49
INV_000032,ORD_000032,CUST_002677,MERCH_0022,29.25,GBP,PAID,2026-03-25 18:36:47,2026-04-24 18:36:47
INV_000033,ORD_000033,CUST_001065,MERCH_0027,567.95,CAD,PAID,2026-03-26 19:34:36,2026-04-25 19:34:36
INV_000034,ORD_000034,CUST_001653,MERCH_0036,66.80,EUR,PAID,2026-01-02 00:24:38,2026-02-01 00:24:38
INV_000035,ORD_000035,CUST_003791,MERCH_0059,73.49,USD,PAID,2026-02-26 05:40:11,2026-03-28 05:40:11
INV_000036,ORD_000036,CUST_001435,MERCH_0079,9999.00,INR,PAID,2026-02-10 14:36:34,2026-03-12 14:36:34
INV_000037,ORD_000037,CUST_000358,MERCH_0051,2853.95,GBP,PAID,2026-01-24 13:44:49,2026-02-23 13:44:49
INV_000038,ORD_000038,CUST_000862,MERCH_0010,339.25,USD,PAID,2026-02-19 06:42:30,2026-03-21 06:42:30
INV_000039,ORD_000039,CUST_003784,MERCH_0082,2275.25,USD,PAID,2026-02-07 08:04:24,2026-03-09 08:04:24
INV_000040,ORD_000040,CUST_003804,MERCH_0086,46.49,USD,PAID,2026-02-17 09:01:15,2026-03-19 09:01:15
INV_000041,ORD_000041,CUST_000148,MERCH_0022,65.50,EUR,PAID,2026-03-01 06:14:09,2026-03-31 06:14:09
INV_000042,ORD_000042,CUST_002934,MERCH_0057,2831.00,CAD,PAID,2026-01-18 14:04:50,2026-02-17 14:04:50
INV_000043,ORD_000043,CUST_002526,MERCH_0050,63.00,USD,PAID,2026-02-13 10:16:50,2026-03-15 10:16:50
