processor_transaction_id,order_id,payment_id,processor_id,payment_method,gross_amount,fee_amount,net_amount,currency,fee_policy_id,status,auth_code,processed_at,settlement_id
PROC_000001,ORD_000001,PAY_000001,STRIPE,DEBIT_CARD,23.00,0.59,22.41,USD,POL_STP_DC_USD,CAPTURED,AUTH920664,2026-01-09 15:18:49,SETTLE_000001
PROC_000002,ORD_000002,PAY_000002,STRIPE,CREDIT_CARD,382.00,7.51,374.49,EUR,POL_STP_CC_EUR,CAPTURED,AUTH991215,2026-01-07 17:18:25,SETTLE_000002
PROC_000004,ORD_000004,PAY_000004,STRIPE,CREDIT_CARD,23.49,0.98,22.51,CAD,POL_STP_CC_CAD,CAPTURED,AUTH721686,2026-02-27 09:42:48,SETTLE_000004
PROC_000005,ORD_000005,PAY_000005,PAYPAL,CREDIT_CARD,32.80,1.44,31.36,EUR,POL_PYP_CC_EUR,CAPTURED,AUTH935741,2026-02-17 01:44:37,SETTLE_000005
PROC_000006,ORD_000006,PAY_000006,PAYPAL,CREDIT_CARD,54.50,2.39,52.11,USD,POL_PYP_CC_USD,CAPTURED,AUTH732636,2026-01-31 13:07:34,SETTLE_000006
PROC_000007,EXT_ORD_000007,EXT_PAY_000007,STRIPE,CREDIT_CARD,2499.00,52.98,2446.02,INR,POL_STP_CC_INR,CAPTURED,AUTH460517,2026-01-06 21:33:48,SETTLE_000007
PROC_000008,ORD_000008,PAY_000008,CHECKOUT_COM,CREDIT_CARD,2969.99,68.51,2901.48,USD,POL_CKO_CC_USD,CAPTURED,AUTH451965,2026-03-09 18:57:49,SETTLE_000008
PROC_000009,ORD_000009,PAY_000009,STRIPE,DEBIT_CARD,15.80,0.49,15.31,USD,POL_STP_DC_USD,CAPTURED,AUTH769795,2026-03-27 09:28:54,SETTLE_000009
PROC_000010,ORD_000010,PAY_000010,ADYEN,DEBIT_CARD,38.25,4.31,33.94,USD,POL_ADY_DC_USD,CAPTURED,AUTH966212,2026-02-17 00:13:26,SETTLE_000010
PROC_000011,ORD_000011,PAY_000011,ADYEN,CREDIT_CARD,61.80,1.42,60.38,USD,POL_ADY_CC_USD,CAPTURED,AUTH146037,2026-01-15 03:49:27,SETTLE_000011
PROC_000012,ORD_000012,PAY_000012,STRIPE,CREDIT_CARD,332.99,6.53,326.46,GBP,POL_STP_CC_GBP,CAPTURED,AUTH287214,2026-03-12 03:00:45,SETTLE_000012
PROC_000013,ORD_000013,PAY_000013,PAYPAL,CREDIT_CARD,41.49,4.00,37.49,GBP,POL_PYP_CC_GBP,CAPTURED,AUTH419891,2026-02-07 02:57:30,SETTLE_000013
PROC_000014,ORD_000014,PAY_000014,STRIPE,SEPA,277.50,1.59,275.91,EUR,POL_STP_SEPA_EUR,CAPTURED,AUTH658424,2026-01-12 20:07:05,SETTLE_000014
PROC_000015,ORD_000015,PAY_000015,STRIPE,DEBIT_CARD,1855.75,28.09,1827.66,USD,POL_STP_DC_USD,CAPTURED,AUTH927942,2026-03-31 18:07:19,SETTLE_000015
PROC_000016,EXT_ORD_000016,EXT_PAY_000016,CHECKOUT_COM,CREDIT_CARD,25.80,0.84,24.96,CAD,POL_CKO_CC_CAD,CAPTURED,AUTH922781,2026-03-25 00:09:19,SETTLE_000016
PROC_000017,ORD_000017,PAY_000017,PAYPAL,CREDIT_CARD,556.99,16.45,540.54,GBP,POL_PYP_CC_GBP,CAPTURED,AUTH287693,2026-03-15 06:40:59,SETTLE_000017
