Date,Description,Reference,Amount
2026-06-01,CHEQUE 1042,CHQ#1042,-10230.18
2026-06-01,CHEQUE 1064,CHQ#1064,-8067.99
2026-06-01,DEP ROGERS COMM AP REF40771,REF40771,88790.68
2026-06-01,PAD SHELL FLEET REF40144,REF40144,-12217.56
2026-06-02,CHEQUE 1051,CHQ#1051,-17040.77
2026-06-02,DEP TELUS COMM AP REF40191,REF40191,88411.47
2026-06-02,PAD ENTERPRISE FLEET REF40486,REF40486,-5365.64
2026-06-03,CHEQUE 1048,CHQ#1048,-21094.19
2026-06-03,DEP ROGERS COMM AP REF40398,REF40398,102367.19
2026-06-03,EFT BRANDT TRACTOR REF40276,REF40276,-12316.92
2026-06-03,PAD MILTON HYDRO REF40442,REF40442,-20094.18
2026-06-04,EFT BELL CDA PAYMENT REF40826,REF40826,-4183.58
2026-06-04,EFT BRANDT TRACTOR REF40587,REF40587,-6479.58
2026-06-04,EFT WESCO DIST REF40326,REF40326,-12272.98
2026-06-04,PAD SHELL FLEET REF40128,REF40128,-3503.79
2026-06-05,DEP BELL CDA AP REF40634,REF40634,77425.86
2026-06-05,PAD GFL ENVIRONMENTAL REF40334,REF40334,-14685.67
2026-06-05,PAD SHELL FLEET REF40539,REF40539,-6506.94
2026-06-08,CHEQUE 1050,CHQ#1050,-3062.32
2026-06-08,CHEQUE 1053,CHQ#1053,-19414.58
2026-06-08,CHEQUE 1058,CHQ#1058,-2088.26
2026-06-08,CHEQUE 1063,CHQ#1063,-20631.69
2026-06-08,DEP BELL CDA AP REF40527,REF40527,109123.56
2026-06-08,DEP BELL CDA AP REF40561,REF40561,104277.78
2026-06-08,EFT BELL CDA PAYMENT REF40379,REF40379,-14193.51
2026-06-08,EFT TELECON DESIGN REF40514,REF40514,-16263.56
2026-06-08,PAD ENTERPRISE FLEET REF40206,REF40206,-23647.98
2026-06-08,PAD ENTERPRISE FLEET REF40816,REF40816,-13386.11
2026-06-08,PAD INTACT INS REF40652,REF40652,-5184.02
2026-06-08,PAD PETROCAN SUPERPASS REF40596,REF40596,-6891.43
2026-06-08,PAD UNITED RENTALS REF40432,REF40432,-6102.99
2026-06-08,POS STAPLES BUS ADV REF40466,REF40466,-21676.19
2026-06-09,CHEQUE 1060,CHQ#1060,-5257.34
2026-06-09,CHEQUE 1062,CHQ#1062,-15288.66
2026-06-09,CHEQUE 1065,CHQ#1065,-4433.49
2026-06-09,CHEQUE 1073,CHQ#1073,-14595.51
2026-06-09,CHEQUE 1077,CHQ#1077,-16110.81
2026-06-09,DEP BELL CDA AP REF40600,REF40600,70486.82
2026-06-09,DEP ROGERS COMM AP REF40123,REF40123,27250.97
2026-06-09,PAD INTACT INS REF40211,REF40211,-5170.46
2026-06-09,PAD SHELL FLEET REF40147,REF40147,-10880.16
2026-06-10,PAD GFL ENVIRONMENTAL SVC REF40929,REF40929,-743.60
2026-06-11,CHEQUE 1046,CHQ#1046,-21055.08
2026-06-11,CHEQUE 1076,CHQ#1076,-9101.04
2026-06-11,DEP ROGERS COMM AP REF40691,REF40691,41142.46
2026-06-11,DEP TELUS COMM AP REF40158,REF40158,87832.55
2026-06-11,PAD INTACT INS REF40786,REF40786,-22782.19
2026-06-12,CHEQUE 1044,CHQ#1044,-10980.23
2026-06-12,CHEQUE 1070,CHQ#1070,-8175.43
2026-06-12,CHEQUE 1072,CHQ#1072,-14804.25
2026-06-12,EFT BRANDT TRACTOR REF40638,REF40638,-1176.36
2026-06-12,PAD ENTERPRISE FLEET REF40376,REF40376,-16179.58
2026-06-12,POS STAPLES BUS ADV REF40167,REF40167,-2483.78
2026-06-15,CHEQUE 1043,CHQ#1043,-12952.95
2026-06-15,CHEQUE 1047,CHQ#1047,-2837.17
2026-06-15,CHEQUE 1054,CHQ#1054,-4550.69
2026-06-15,CHEQUE 1067,CHQ#1067,-11233.06
2026-06-15,CHEQUE 1068,CHQ#1068,-15073.56
2026-06-15,CHEQUE 1071,CHQ#1071,-11995.77
2026-06-15,EFT BELL CDA PAYMENT REF40721,REF40721,-15901.99
2026-06-15,EFT ROGERS COMM REF40238,REF40238,-19356.19
2026-06-15,EFT VERMEER CDA REF40614,REF40614,-13321.03
2026-06-15,PAD MILTON HYDRO REF40659,REF40659,-21240.09
2026-06-15,POS HOME DEPOT PRO REF40412,REF40412,-8619.37
2026-06-15,POS STAPLES BUS ADV REF40284,REF40284,-9270.17
2026-06-16,CHEQUE 1052,CHQ#1052,-6813.33
2026-06-16,CHEQUE 1056,CHQ#1056,-15945.77
2026-06-16,DEP ROGERS COMM AP REF40337,REF40337,78905.01
2026-06-16,DEP TELUS COMM AP REF40451,REF40451,61577.27
2026-06-17,CHEQUE 1057,CHQ#1057,-22079.80
2026-06-17,DEP BELL CDA AP REF40736,REF40736,56603.15
2026-06-17,PAD SHELL FLEET CARD SVC REF40833,REF40833,-2411.46
2026-06-18,ADP PAYROLL PPD REF40219,REF40219,-15305.18
2026-06-18,CHEQUE 1049,CHQ#1049,-15895.26
2026-06-18,CHEQUE 1055,CHQ#1055,-10735.37
2026-06-18,CHEQUE 1074,CHQ#1074,-4709.23
2026-06-18,DEP COGECO CONNEXION REF40357,REF40357,111792.66
2026-06-18,DEP ROGERS COMM AP REF40295,REF40295,86353.93
2026-06-18,DEP TELUS COMM AP REF40260,REF40260,47196.48
2026-06-18,NSF RETURNED ITEM FEE,NSF-0618,-48.00
2026-06-18,PAD ENTERPRISE FLEET REF40580,REF40580,-3937.53
2026-06-18,PAD MILTON HYDRO UTIL REF40918,REF40918,-1154.68
2026-06-19,CHEQUE 1066,CHQ#1066,-2934.68
2026-06-19,DEP BELL CDA AP REF40504,REF40504,30144.87
2026-06-19,EFT BRANDT TRACTOR REF40408,REF40408,-17410.26
2026-06-19,EFT REGION HALTON PERMIT REF40270,REF40270,-10385.29
2026-06-19,EFT VERMEER CDA REF40547,REF40547,-14976.01
2026-06-22,CHEQUE 1059,CHQ#1059,-14341.45
2026-06-22,CHEQUE 1061,CHQ#1061,-13390.63
2026-06-22,CHEQUE 1078,CHQ#1078,-3495.61
2026-06-22,CHQ DITCH WITCH ONT REF40249,REF40249,-9603.95
2026-06-22,DEP COGECO CONNEXION REF40229,REF40229,59150.99
2026-06-22,EFT ANIXTER CDA SUPPLY REF40901,REF40901,-9274.79
2026-06-22,EFT WSIB ONT PREMIUM REF40608,REF40608,-18548.06
2026-06-22,MERCHANT PROCESSING FEE MONERIS,MER-0622,-389.44
2026-06-22,PAD ENTERPRISE FLEET REF40181,REF40181,-19936.42
2026-06-22,PAD ENTERPRISE FLEET REF40801,REF40801,-12259.66
2026-06-22,PAD INTACT INSURANCE PREM REF40884,REF40884,-1887.08
2026-06-22,PAD UNITED RENTALS INC REF40865,REF40865,-6649.18
2026-06-23,EFT TELECON DESIGN REF40618,REF40618,-22691.11
2026-06-24,ADP PAYROLL PPD REF40752,REF40752,-10531.31
2026-06-24,CHEQUE 1075,CHQ#1075,-7694.16
2026-06-24,DEP ROGERS COMM AP REF40425,REF40425,30455.14
2026-06-24,EFT BELL CDA PAYMENT REF40314,REF40314,-22899.90
2026-06-24,EFT WESCO DIST CANADA REF40852,REF40852,-13902.08
2026-06-24,PAD MILTON HYDRO REF40780,REF40780,-16540.94
2026-06-25,CHEQUE 1045,CHQ#1045,-20256.73
2026-06-25,CHEQUE 1069,CHQ#1069,-7966.03
2026-06-25,CHQ DITCH WITCH ONT REF40348,REF40348,-19617.67
2026-06-25,EFT BRANDT TRACTOR REF40163,REF40163,-5308.77
2026-06-25,EFT VERMEER CDA REF40542,REF40542,-7711.34
2026-06-25,PRE-AUTH DEBIT UNKNOWN ORIG 7719,PAD-7719,-1260.00
2026-06-26,E-TRANSFER RECEIVED T4X99A,ETR-T4X99A,2150.00
2026-06-26,EFT BRANDT TRACTOR REF40281,REF40281,-15125.76
2026-06-26,EFT VERMEER CDA REF40716,REF40716,-8508.86
2026-06-26,PAD PETROCAN SUPERPASS REF40482,REF40482,-22249.66
2026-06-26,PAD SHELL FLEET REF40675,REF40675,-20774.91
2026-06-26,PAD SHELL FLEET REF40706,REF40706,-6535.31
2026-06-26,PAD UNITED RENTALS REF40341,REF40341,-22311.13
2026-06-30,INTEREST EARNED,INT-JUN,214.87
2026-06-30,MONTHLY ACCOUNT FEE,SVC-JUN,-125.00
2026-06-30,SERVICE CHARGE - WIRE PAYMENT,WIRE-FEE,-45.00
