Date,Account,Memo,DocNo,Amount
2026-06-01,1010 Cash — Operating,Milton Hydro — invoice payment,CHQ#1064,-8067.99
2026-06-01,1010 Cash — Operating,Region of Halton — invoice payment,CHQ#1042,-10230.18
2026-06-01,1010 Cash — Operating,Region of Halton — invoice payment,CHQ#1042,-10230.18
2026-06-01,1010 Cash — Operating,Rogers Communications — progress billing,REF40771,88790.68
2026-06-01,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF40144,-12217.56
2026-06-02,1010 Cash — Operating,Enterprise Fleet Mgmt — invoice payment,REF40486,-5365.64
2026-06-02,1010 Cash — Operating,Telecon Design — invoice payment,CHQ#1051,-17040.77
2026-06-02,1010 Cash — Operating,Telus network build — milestone,REF40191,88411.47
2026-06-03,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,REF40276,-12316.92
2026-06-03,1010 Cash — Operating,Milton Hydro — invoice payment,REF40442,-20094.18
2026-06-03,1010 Cash — Operating,Rogers Communications — progress billing,REF40398,102367.19
2026-06-03,1010 Cash — Operating,Shell Fleet Card — invoice payment,CHQ#1048,-21094.19
2026-06-04,1010 Cash — Operating,Bell Canada — invoice payment,REF40826,-4183.67
2026-06-04,1010 Cash — Operating,Brandt Tractor Ltd — invoice payment,REF40587,-6479.58
2026-06-04,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF40128,-3503.79
2026-06-04,1010 Cash — Operating,WESCO Distribution — invoice payment,REF40326,-12272.98
2026-06-05,1010 Cash — Operating,Bell Canada — invoice payment,CHQ#1077,-16110.81
2026-06-05,1010 Cash — Operating,Bell aerial build — holdback release,REF40634,77425.86
2026-06-05,1010 Cash — Operating,GFL Environmental — invoice payment,REF40334,-14685.67
2026-06-05,1010 Cash — Operating,Shell Fleet Card — invoice payment,REF40539,-6506.94
2026-06-08,1010 Cash — Operating,Bell Canada — invoice payment,REF40379,-14193.51
2026-06-08,1010 Cash — Operating,Bell aerial build — holdback release,REF40527,109123.56
2026-06-08,1010 Cash — Operating,Bell aerial build — holdback release,REF40561,104277.78
2026-06-08,1010 Cash — Operating,Ditch Witch of Ontario — invoice payment,CHQ#1053,-19414.58
2026-06-08,1010 Cash — Operating,Enterprise Fleet Mgmt — invoice payment,REF40206,-23647.98
2026-06-08,1010 Cash — Operating,Enterprise Fleet Mgmt — invoice payment,REF40816,-13386.11
2026-06-08,1010 Cash — Operating,GFL Environmental — invoice payment,CHQ#1058,-2088.26
2026-06-08,1010 Cash — Operating,Intact Insurance — invoice payment,REF40652,-5184.02
2026-06-08,1010 Cash — Operating,Petro-Canada SuperPass — invoice payment,REF40596,-6891.43
2026-06-08,1010 Cash — Operating,Rogers Communications — invoice payment,CHQ#1063,-20631.69
2026-06-08,1010 Cash — Operating,Shell Fleet Card — invoice payment,CHQ#1073,-14595.51
2026-06-08,1010 Cash — Operating,Staples Business — invoice payment,REF40466,-21676.19
2026-06-08,1010 Cash — Operating,Telecon Design — invoice payment,REF40514,-16263.56
2026-06-08,1010 Cash — Operating,United Rentals — invoice payment,REF40432,-6102.99
