document_id,client_id,document_type_code,external_reference,document_date,accounting_period,received_timestamp,ingestion_channel,processing_status,validation_result,attachment_quality
DOC000000001,CLI000000001,SALES_INV,AR-00001-202301-000001,2023-01-21,2023-01,2023-01-25T13:46:08,PORTAL,VALIDATED,VALID,ACCEPTABLE
DOC000000002,CLI000000001,PURCHASE_INV,AP-00001-202301-000002,2023-01-24,2023-01,2023-01-28T16:58:17,EMAIL,VALIDATED,VALID,GOOD
DOC000000003,CLI000000001,SALES_INV,AR-00001-202302-000003,2023-02-07,2023-02,2023-02-09T16:57:41,API,VALIDATED,VALID,GOOD
DOC000000004,CLI000000001,SALES_INV,AR-00001-202302-000004,2023-02-07,2023-02,2023-02-07T13:15:08,EMAIL,VALIDATED,VALID,GOOD
DOC000000005,CLI000000001,PURCHASE_INV,AP-00001-202302-000005,2023-02-07,2023-02,2023-02-11T08:17:54,EMAIL,VALIDATED,VALID,POOR
DOC000000006,CLI000000002,SALES_INV,AR-00002-202301-000006,2023-01-03,2023-01,2023-01-11T17:35:35,API,LATE,VALID,GOOD
DOC000000007,CLI000000002,SALES_INV,AR-00002-202301-000007,2023-01-12,2023-01,2023-01-13T09:22:54,API,VALIDATED,VALID,GOOD
DOC000000008,CLI000000002,PURCHASE_INV,AP-00002-202301-000008,2023-01-19,2023-01,2023-01-24T12:01:11,API,VALIDATED,VALID,ACCEPTABLE
DOC000000009,CLI000000003,SALES_INV,AR-00003-202301-000009,2023-01-23,2023-01,2023-01-27T15:53:44,API,VALIDATED,VALID,GOOD
DOC000000010,CLI000000003,SALES_INV,AR-00003-202301-000010,2023-01-08,2023-01,2023-01-10T11:21:49,EMAIL,VALIDATED,VALID,GOOD
DOC000000011,CLI000000003,SALES_INV,AR-00003-202301-000011,2023-01-17,2023-01,2023-01-18T11:06:09,API,VALIDATED,VALID,GOOD
DOC000000012,CLI000000003,PURCHASE_INV,AP-00003-202301-000012,2023-01-05,2023-01,2023-01-09T18:40:39,API,VALIDATED,VALID,ACCEPTABLE
DOC000000013,CLI000000003,PURCHASE_INV,AP-00003-202301-000013,2023-01-11,2023-01,2023-01-15T08:22:32,PORTAL,VALIDATED,VALID,GOOD
DOC000000014,CLI000000003,PURCHASE_INV,AP-00003-202301-000014,2023-01-02,2023-01,2023-01-02T17:38:32,MANUAL,VALIDATED,VALID,GOOD
DOC000000015,CLI000000003,SALES_INV,AR-00003-202302-000015,2023-02-06,2023-02,2023-02-08T16:59:06,PORTAL,VALIDATED,VALID,GOOD
DOC000000016,CLI000000003,SALES_INV,AR-00003-202302-000016,2023-02-09,2023-02,2023-02-11T08:26:03,MANUAL,VALIDATED,VALID,GOOD
DOC000000017,CLI000000003,PURCHASE_INV,AP-00003-202302-000017,2023-02-13,2023-02,2023-02-18T13:50:09,EMAIL,VALIDATED,VALID,GOOD
DOC000000018,CLI000000003,PURCHASE_INV,AP-00003-202302-000018,2023-02-23,2023-02,2023-02-23T12:13:53,EMAIL,VALIDATED,VALID,GOOD
DOC000000019,CLI000000004,SALES_INV,AR-00004-202301-000019,2023-01-15,2023-01,2023-01-19T12:51:05,MANUAL,VALIDATED,VALID,GOOD
DOC000000020,CLI000000004,SALES_INV,AR-00004-202301-000020,2023-01-27,2023-01,2023-01-29T15:38:45,MANUAL,VALIDATED,VALID,GOOD
DOC000000021,CLI000000004,PURCHASE_INV,AP-00004-202301-000021,2023-01-12,2023-01,2023-01-12T10:54:38,MANUAL,VALIDATED,VALID,GOOD
DOC000000022,CLI000000004,PURCHASE_INV,AP-00004-202301-000022,2023-01-08,2023-01,2023-01-18T16:23:25,API,LATE,VALID,GOOD
DOC000000023,CLI000000004,SALES_INV,AR-00004-202302-000023,2023-02-09,2023-02,2023-02-13T09:32:41,EMAIL,VALIDATED,VALID,GOOD
DOC000000024,CLI000000004,SALES_INV,AR-00004-202302-000024,2023-02-05,2023-02,2023-02-09T08:52:55,PORTAL,VALIDATED,VALID,GOOD
DOC000000025,CLI000000004,SALES_INV,AR-00004-202302-000025,2023-02-25,2023-02,2023-02-28T18:34:18,API,VALIDATED,VALID,GOOD
DOC000000026,CLI000000004,PURCHASE_INV,AP-00004-202302-000026,2023-02-13,2023-02,2023-02-16T11:21:38,EMAIL,VALIDATED,VALID,GOOD
DOC000000027,CLI000000004,PURCHASE_INV,AP-00004-202302-000027,2023-02-11,2023-02,2023-02-13T15:15:09,PORTAL,VALIDATED,VALID,GOOD
DOC000000028,CLI000000004,PURCHASE_INV,AP-00004-202302-000028,2023-02-28,2023-02,2023-03-01T15:32:29,MANUAL,VALIDATED,VALID,ACCEPTABLE
DOC000000029,CLI000000005,SALES_INV,AR-00005-202301-000029,2023-01-30,2023-01,2023-02-01T10:29:58,API,VALIDATED,VALID,GOOD
DOC000000030,CLI000000005,SALES_INV,AR-00005-202301-000030,2023-01-25,2023-01,2023-01-26T12:49:18,EMAIL,VALIDATED,VALID,GOOD
DOC000000031,CLI000000005,SALES_INV,AR-00005-202301-000031,2023-01-11,2023-01,2023-01-14T14:52:22,EMAIL,VALIDATED,VALID,GOOD
DOC000000032,CLI000000005,PURCHASE_INV,AP-00005-202301-000032,2023-01-31,2023-01,2023-02-01T16:17:59,API,VALIDATED,VALID,GOOD
DOC000000033,CLI000000005,PURCHASE_INV,AP-00005-202301-000033,2023-01-08,2023-01,2023-01-22T13:45:30,PORTAL,LATE,VALID,GOOD
DOC000000034,CLI000000005,PURCHASE_INV,AP-00005-202301-000034,2023-01-01,2023-01,2023-01-02T12:20:18,PORTAL,VALIDATED,VALID,ACCEPTABLE
DOC000000035,CLI000000005,SALES_INV,AR-00005-202302-000035,2023-02-15,2023-02,2023-02-18T08:29:08,MANUAL,VALIDATED,VALID,GOOD
DOC000000036,CLI000000005,SALES_INV,AR-00005-202302-000036,2023-02-18,2023-02,2023-02-18T11:37:04,PORTAL,VALIDATED,VALID,GOOD
DOC000000037,CLI000000005,PURCHASE_INV,AP-00005-202302-000037,2023-02-18,2023-02,2023-02-23T14:23:57,MANUAL,VALIDATED,VALID,GOOD
DOC000000038,CLI000000005,PURCHASE_INV,AP-00005-202302-000038,2023-02-13,2023-02,2023-02-15T09:11:34,MANUAL,VALIDATED,VALID,GOOD
DOC000000039,CLI000000006,SALES_INV,AR-00006-202301-000039,2023-01-02,2023-01,2023-01-22T17:46:42,EMAIL,LATE,VALID,GOOD
DOC000000040,CLI000000006,SALES_INV,AR-00006-202301-000040,2023-01-10,2023-01,2023-01-13T11:44:38,EMAIL,VALIDATED,VALID,GOOD
DOC000000041,CLI000000006,PURCHASE_INV,AP-00006-202301-000041,2023-01-18,2023-01,2023-01-20T13:32:56,MANUAL,VALIDATED,VALID,GOOD
DOC000000042,CLI000000006,SALES_INV,AR-00006-202302-000042,2023-02-23,2023-02,2023-02-28T08:05:25,MANUAL,VALIDATED,VALID,GOOD
DOC000000043,CLI000000006,SALES_INV,AR-00006-202302-000043,2023-02-02,2023-02,2023-02-04T17:54:06,PORTAL,VALIDATED,VALID,GOOD
DOC000000044,CLI000000006,PURCHASE_INV,AP-00006-202302-000044,2023-02-19,2023-02,2023-02-20T13:01:13,EMAIL,VALIDATED,VALID,ACCEPTABLE
