invoice_id,document_id,client_id,counterparty_id,invoice_direction,invoice_number,issue_date,due_date,currency_code,net_amount,vat_rate,vat_amount,gross_amount,gross_amount_eur,payment_status
INV000000001,DOC000000001,CLI000000001,CP000000005,AR,AR-00001-202301-000001,2023-01-21,2023-01-28,EUR,4831.31,0.19,917.95,5749.26,5749.26,OPEN
INV000000002,DOC000000002,CLI000000001,CP000000011,AP,AP-00001-202301-000002,2023-01-24,2023-03-10,EUR,266.36,0.19,50.61,316.97,316.97,OPEN
INV000000003,DOC000000003,CLI000000001,CP000000006,AR,AR-00001-202302-000003,2023-02-07,2023-03-24,EUR,602.96,0.19,114.56,717.52,717.52,OPEN
INV000000004,DOC000000004,CLI000000001,CP000000006,AR,AR-00001-202302-000004,2023-02-07,2023-02-14,EUR,280.61,0.19,53.32,333.93,333.93,OPEN
INV000000005,DOC000000005,CLI000000001,CP000000014,AP,AP-00001-202302-000005,2023-02-07,2023-02-21,EUR,1018.66,0.19,193.55,1212.20,1212.20,OPEN
INV000000006,DOC000000006,CLI000000002,CP000000029,AR,AR-00002-202301-000006,2023-01-03,2023-01-10,EUR,432.02,0.19,82.08,514.11,514.11,OPEN
INV000000007,DOC000000007,CLI000000002,CP000000023,AR,AR-00002-202301-000007,2023-01-12,2023-02-26,EUR,373.56,0.19,70.98,444.53,444.53,OPEN
INV000000008,DOC000000008,CLI000000002,CP000000020,AP,AP-00002-202301-000008,2023-01-19,2023-02-02,EUR,1038.26,0.0,0.00,1038.26,1038.26,OPEN
INV000000009,DOC000000009,CLI000000003,CP000000036,AR,AR-00003-202301-000009,2023-01-23,2023-03-09,EUR,372.09,0.19,70.70,442.79,442.79,OPEN
INV000000010,DOC000000010,CLI000000003,CP000000030,AR,AR-00003-202301-000010,2023-01-08,2023-02-22,EUR,940.41,0.19,178.68,1119.09,1119.09,OPEN
INV000000011,DOC000000011,CLI000000003,CP000000030,AR,AR-00003-202301-000011,2023-01-17,2023-01-31,EUR,1990.93,0.19,378.28,2369.21,2369.21,OPEN
INV000000012,DOC000000012,CLI000000003,CP000000034,AP,AP-00003-202301-000012,2023-01-05,2023-01-12,EUR,485.39,0.19,92.22,577.61,577.61,OPEN
INV000000013,DOC000000013,CLI000000003,CP000000034,AP,AP-00003-202301-000013,2023-01-11,2023-01-25,EUR,416.32,0.19,79.10,495.43,495.43,OPEN
INV000000014,DOC000000014,CLI000000003,CP000000033,AP,AP-00003-202301-000014,2023-01-02,2023-01-09,EUR,368.77,0.19,70.07,438.84,438.84,OPEN
INV000000015,DOC000000015,CLI000000003,CP000000036,AR,AR-00003-202302-000015,2023-02-06,2023-02-20,EUR,1243.74,0.19,236.31,1480.06,1480.06,OPEN
INV000000016,DOC000000016,CLI000000003,CP000000032,AR,AR-00003-202302-000016,2023-02-09,2023-03-26,EUR,92.23,0.19,17.52,109.75,109.75,OPEN
INV000000017,DOC000000017,CLI000000003,CP000000031,AP,AP-00003-202302-000017,2023-02-13,2023-02-20,EUR,405.54,0.19,77.05,482.60,482.60,OPEN
INV000000018,DOC000000018,CLI000000003,CP000000033,AP,AP-00003-202302-000018,2023-02-23,2023-03-09,EUR,1167.33,0.19,221.79,1389.12,1389.12,OPEN
INV000000019,DOC000000019,CLI000000004,CP000000045,AR,AR-00004-202301-000019,2023-01-15,2023-03-01,EUR,486.13,0.19,92.36,578.49,578.49,OPEN
