client_event_id,client_id,event_date,event_type,event_reason
CEV000000001,CLI000000001,2021-08-03,ONBOARDING_STARTED,
CEV000000002,CLI000000001,2021-08-11,CONTRACT_SIGNED,
CEV000000003,CLI000000001,2021-08-20,ACCOUNT_ACTIVATED,
CEV000000004,CLI000000001,2023-02-19,CONTRACT_TERMINATED,SERVICE_QUALITY
CEV000000005,CLI000000002,2018-10-11,ONBOARDING_STARTED,
CEV000000006,CLI000000002,2018-10-13,CONTRACT_SIGNED,
CEV000000007,CLI000000002,2018-10-26,ACCOUNT_ACTIVATED,
CEV000000008,CLI000000002,2023-01-10,CONTRACT_TERMINATED,CLIENT_CLOSED
CEV000000009,CLI000000003,2021-06-01,ONBOARDING_STARTED,
CEV000000010,CLI000000003,2021-06-08,CONTRACT_SIGNED,
CEV000000011,CLI000000003,2021-06-08,ACCOUNT_ACTIVATED,
CEV000000012,CLI000000004,2020-03-28,ONBOARDING_STARTED,
CEV000000013,CLI000000004,2020-04-03,CONTRACT_SIGNED,
CEV000000014,CLI000000004,2020-04-03,ACCOUNT_ACTIVATED,
CEV000000015,CLI000000005,2022-05-26,ONBOARDING_STARTED,
CEV000000016,CLI000000005,2022-05-30,CONTRACT_SIGNED,
CEV000000017,CLI000000005,2022-06-03,ACCOUNT_ACTIVATED,
CEV000000018,CLI000000006,2018-07-20,ONBOARDING_STARTED,
CEV000000019,CLI000000006,2018-07-25,CONTRACT_SIGNED,
CEV000000020,CLI000000006,2018-08-06,ACCOUNT_ACTIVATED,
CEV000000021,CLI000000007,2019-08-31,ONBOARDING_STARTED,
CEV000000022,CLI000000007,2019-09-07,CONTRACT_SIGNED,
CEV000000023,CLI000000007,2019-09-12,ACCOUNT_ACTIVATED,
CEV000000024,CLI000000008,2019-06-19,ONBOARDING_STARTED,
CEV000000025,CLI000000008,2019-06-26,CONTRACT_SIGNED,
CEV000000026,CLI000000008,2019-06-26,ACCOUNT_ACTIVATED,
