contract_service_id,contract_id,service_type_code,service_start_date,service_end_date,monthly_fee_eur,is_active
CSV000000001,CTR000000001,AFS,2021-08-03,2023-02-19,45.60,False
CSV000000002,CTR000000001,FIA,2021-08-03,2023-02-19,125.40,False
CSV000000003,CTR000000001,VAT,2021-08-03,2023-02-19,27.36,False
CSV000000004,CTR000000002,CTR,2018-10-11,2023-01-10,34.45,False
CSV000000005,CTR000000002,FIA,2018-10-11,2023-01-10,126.33,False
CSV000000006,CTR000000002,VAT,2018-10-11,2023-01-10,27.56,False
CSV000000007,CTR000000003,CTR,2021-06-01,,31.53,True
CSV000000008,CTR000000003,FIA,2021-06-01,,115.60,True
CSV000000009,CTR000000003,PAY,2021-06-01,,52.54,True
CSV000000010,CTR000000003,VAT,2021-06-01,,25.22,True
CSV000000011,CTR000000004,CTR,2020-03-28,,37.72,True
CSV000000012,CTR000000004,FIA,2020-03-28,,138.30,True
CSV000000013,CTR000000004,PAY,2020-03-28,,62.86,True
CSV000000014,CTR000000004,VAT,2020-03-28,,30.18,True
CSV000000015,CTR000000005,CTR,2022-05-26,,32.33,True
CSV000000016,CTR000000005,FIA,2022-05-26,,118.54,True
CSV000000017,CTR000000005,VAT,2022-05-26,,25.86,True
CSV000000018,CTR000000006,FIA,2018-07-20,,115.60,True
CSV000000019,CTR000000006,PAY,2018-07-20,,52.54,True
CSV000000020,CTR000000006,VAT,2018-07-20,,25.22,True
CSV000000021,CTR000000007,CTR,2019-08-31,,29.40,True
CSV000000022,CTR000000007,FIA,2019-08-31,,107.80,True
CSV000000023,CTR000000007,VAT,2019-08-31,,23.52,True
CSV000000024,CTR000000008,AP,2019-06-19,,37.36,True
CSV000000025,CTR000000008,CTR,2019-06-19,,31.13,True
CSV000000026,CTR000000008,FIA,2019-06-19,,114.16,True
CSV000000027,CTR000000008,VAT,2019-06-19,,24.91,True
