firm_invoice_id,firm_id,client_id,contract_id,billing_period,issue_date,due_date,base_fee_eur,service_fee_eur,usage_fee_eur,discount_pct,gross_amount_eur,payment_status
FINV000000001,FIRM000000001,CLI000000001,CTR000000001,2023-01,2023-01-31,2023-02-14,228.00,198.36,25.72,0,452.08,OPEN
FINV000000002,FIRM000000001,CLI000000001,CTR000000001,2023-02,2023-02-28,2023-03-14,228.00,198.36,20.41,0,446.77,OPEN
FINV000000003,FIRM000000001,CLI000000002,CTR000000002,2023-01,2023-01-31,2023-02-14,229.68,188.34,6.08,15,360.48,OPEN
FINV000000004,FIRM000000001,CLI000000003,CTR000000003,2023-01,2023-01-31,2023-02-14,210.18,224.89,38.62,5,450.01,OPEN
FINV000000005,FIRM000000001,CLI000000003,CTR000000003,2023-02,2023-02-28,2023-03-14,210.18,224.89,35.06,5,446.62,OPEN
FINV000000006,FIRM000000001,CLI000000004,CTR000000004,2023-01,2023-01-31,2023-02-14,251.46,269.06,15.85,0,536.37,OPEN
FINV000000007,FIRM000000001,CLI000000004,CTR000000004,2023-02,2023-02-28,2023-03-14,251.46,269.06,17.87,0,538.39,OPEN
FINV000000008,FIRM000000001,CLI000000005,CTR000000005,2023-01,2023-01-31,2023-02-14,215.52,176.73,23.53,10,374.20,OPEN
FINV000000009,FIRM000000001,CLI000000005,CTR000000005,2023-02,2023-02-28,2023-03-14,215.52,176.73,18.82,10,369.97,OPEN
FINV000000010,FIRM000000001,CLI000000006,CTR000000006,2023-01,2023-01-31,2023-02-14,210.18,193.36,25.49,10,386.13,OPEN
FINV000000011,FIRM000000001,CLI000000006,CTR000000006,2023-02,2023-02-28,2023-03-14,210.18,193.36,5.24,10,367.90,OPEN
FINV000000012,FIRM000000001,CLI000000007,CTR000000007,2023-01,2023-01-31,2023-02-14,196.00,160.72,6.74,0,363.46,OPEN
FINV000000013,FIRM000000001,CLI000000007,CTR000000007,2023-02,2023-02-28,2023-03-14,196.00,160.72,27.51,0,384.23,OPEN
FINV000000014,FIRM000000001,CLI000000008,CTR000000008,2023-01,2023-01-31,2023-02-14,207.56,207.56,31.72,15,379.81,OPEN
FINV000000015,FIRM000000001,CLI000000008,CTR000000008,2023-02,2023-02-28,2023-03-14,207.56,207.56,7.67,15,359.37,OPEN
