firm_payment_id,firm_invoice_id,client_id,payment_date,payment_amount_eur,payment_method,days_after_due
FPAY000000001,FINV000000001,CLI000000001,2023-02-07,452.08,BANK_TRANSFER,0
FPAY000000002,FINV000000002,CLI000000001,2023-03-06,446.77,BANK_TRANSFER,0
FPAY000000003,FINV000000003,CLI000000002,2023-02-05,360.48,BANK_TRANSFER,0
FPAY000000004,FINV000000004,CLI000000003,2023-03-04,450.01,BANK_TRANSFER,18
FPAY000000005,FINV000000005,CLI000000003,2023-03-22,446.62,BANK_TRANSFER,8
FPAY000000006,FINV000000006,CLI000000004,2023-02-03,536.37,BANK_TRANSFER,0
FPAY000000007,FINV000000007,CLI000000004,2023-03-22,538.39,BANK_TRANSFER,8
FPAY000000008,FINV000000008,CLI000000005,2023-02-26,374.20,BANK_TRANSFER,12
FPAY000000009,FINV000000009,CLI000000005,2023-03-15,369.97,BANK_TRANSFER,1
FPAY000000010,FINV000000010,CLI000000006,2023-02-18,386.13,BANK_TRANSFER,4
FPAY000000011,FINV000000011,CLI000000006,2023-03-04,367.90,BANK_TRANSFER,0
FPAY000000012,FINV000000012,CLI000000007,2023-02-03,363.46,BANK_TRANSFER,0
FPAY000000013,FINV000000013,CLI000000007,2023-03-27,384.23,BANK_TRANSFER,13
FPAY000000014,FINV000000014,CLI000000008,2023-02-09,379.81,BANK_TRANSFER,0
