journal_entry_id,client_id,entry_date,accounting_period,source_document_id,entry_type,description,currency_code
JE000000001,CLI000000001,2023-01-21,2023-01,DOC000000001,AR_INVOICE,AR invoice posting,EUR
JE000000002,CLI000000001,2023-01-24,2023-01,DOC000000002,AP_INVOICE,AP invoice posting,EUR
JE000000003,CLI000000001,2023-01-21,2023-01,,PAYMENT,Payment posting,EUR
JE000000004,CLI000000001,2023-03-14,2023-03,,PAYMENT,Payment posting,EUR
JE000000005,CLI000000001,2023-02-07,2023-02,DOC000000003,AR_INVOICE,AR invoice posting,EUR
JE000000006,CLI000000001,2023-02-07,2023-02,DOC000000004,AR_INVOICE,AR invoice posting,EUR
JE000000007,CLI000000001,2023-02-07,2023-02,DOC000000005,AP_INVOICE,AP invoice posting,EUR
JE000000008,CLI000000001,2023-03-27,2023-03,,PAYMENT,Payment posting,EUR
JE000000009,CLI000000001,2023-02-12,2023-02,,PAYMENT,Payment posting,EUR
JE000000010,CLI000000001,2023-02-25,2023-02,,PAYMENT,Payment posting,EUR
JE000000011,CLI000000002,2023-01-03,2023-01,DOC000000006,AR_INVOICE,AR invoice posting,EUR
JE000000012,CLI000000002,2023-01-12,2023-01,DOC000000007,AR_INVOICE,AR invoice posting,EUR
JE000000013,CLI000000002,2023-01-19,2023-01,DOC000000008,AP_INVOICE,AP invoice posting,EUR
JE000000014,CLI000000002,2023-01-29,2023-01,,PAYMENT,Payment posting,EUR
JE000000015,CLI000000002,2023-02-02,2023-02,,PAYMENT,Payment posting,EUR
JE000000016,CLI000000003,2023-01-23,2023-01,DOC000000009,AR_INVOICE,AR invoice posting,EUR
JE000000017,CLI000000003,2023-01-08,2023-01,DOC000000010,AR_INVOICE,AR invoice posting,EUR
JE000000018,CLI000000003,2023-01-17,2023-01,DOC000000011,AR_INVOICE,AR invoice posting,EUR
JE000000019,CLI000000003,2023-01-05,2023-01,DOC000000012,AP_INVOICE,AP invoice posting,EUR
JE000000020,CLI000000003,2023-01-11,2023-01,DOC000000013,AP_INVOICE,AP invoice posting,EUR
JE000000021,CLI000000003,2023-01-02,2023-01,DOC000000014,AP_INVOICE,AP invoice posting,EUR
JE000000022,CLI000000003,2023-03-16,2023-03,,PAYMENT,Payment posting,EUR
JE000000023,CLI000000003,2023-03-08,2023-03,,PAYMENT,Payment posting,EUR
JE000000024,CLI000000003,2023-02-04,2023-02,,PAYMENT,Payment posting,EUR
JE000000025,CLI000000003,2023-01-23,2023-01,,PAYMENT,Payment posting,EUR
JE000000026,CLI000000003,2023-02-03,2023-02,,PAYMENT,Payment posting,EUR
JE000000027,CLI000000003,2023-01-15,2023-01,,PAYMENT,Payment posting,EUR
JE000000028,CLI000000003,2023-02-06,2023-02,DOC000000015,AR_INVOICE,AR invoice posting,EUR
JE000000029,CLI000000003,2023-02-09,2023-02,DOC000000016,AR_INVOICE,AR invoice posting,EUR
JE000000030,CLI000000003,2023-02-13,2023-02,DOC000000017,AP_INVOICE,AP invoice posting,EUR
JE000000031,CLI000000003,2023-02-23,2023-02,DOC000000018,AP_INVOICE,AP invoice posting,EUR
JE000000032,CLI000000003,2023-03-04,2023-03,,PAYMENT,Payment posting,EUR
JE000000033,CLI000000003,2023-04-17,2023-04,,PAYMENT,Payment posting,EUR
JE000000034,CLI000000003,2023-03-06,2023-03,,PAYMENT,Payment posting,EUR
JE000000035,CLI000000003,2023-03-10,2023-03,,PAYMENT,Payment posting,EUR
JE000000036,CLI000000004,2023-01-15,2023-01,DOC000000019,AR_INVOICE,AR invoice posting,EUR
JE000000037,CLI000000004,2023-01-27,2023-01,DOC000000020,AR_INVOICE,AR invoice posting,EUR
JE000000038,CLI000000004,2023-01-12,2023-01,DOC000000021,AP_INVOICE,AP invoice posting,EUR
JE000000039,CLI000000004,2023-01-08,2023-01,DOC000000022,AP_INVOICE,AP invoice posting,EUR
JE000000040,CLI000000004,2023-03-15,2023-03,,PAYMENT,Payment posting,EUR
JE000000041,CLI000000004,2023-01-27,2023-01,,PAYMENT,Payment posting,EUR
JE000000042,CLI000000004,2023-03-15,2023-03,,PAYMENT,Payment posting,EUR
JE000000043,CLI000000004,2023-02-09,2023-02,DOC000000023,AR_INVOICE,AR invoice posting,EUR
JE000000044,CLI000000004,2023-02-05,2023-02,DOC000000024,AR_INVOICE,AR invoice posting,EUR
