journal_line_id,journal_entry_id,gl_account_code,debit_amount_eur,credit_amount_eur,cost_center_code
JL000000001,JE000000001,1200,5749.26,0.00,CC-WHO
JL000000002,JE000000001,3000,0.00,4831.31,CC-WHO
JL000000003,JE000000001,1776,0.00,917.95,CC-WHO
JL000000004,JE000000002,4000,266.36,0.00,CC-WHO
JL000000005,JE000000002,1400,50.61,0.00,CC-WHO
JL000000006,JE000000002,1600,0.00,316.97,CC-WHO
JL000000007,JE000000003,1000,5749.26,0.00,CC-WHO
JL000000008,JE000000003,1200,0.00,5749.26,CC-WHO
JL000000009,JE000000004,1600,316.97,0.00,CC-WHO
JL000000010,JE000000004,1000,0.00,316.97,CC-WHO
JL000000011,JE000000005,1200,717.52,0.00,CC-WHO
JL000000012,JE000000005,3000,0.00,602.96,CC-WHO
JL000000013,JE000000005,1776,0.00,114.56,CC-WHO
JL000000014,JE000000006,1200,333.93,0.00,CC-WHO
JL000000015,JE000000006,3000,0.00,280.61,CC-WHO
JL000000016,JE000000006,1776,0.00,53.32,CC-WHO
JL000000017,JE000000007,4000,1018.66,0.00,CC-WHO
JL000000018,JE000000007,1400,193.55,0.00,CC-WHO
JL000000019,JE000000007,1600,0.00,1212.20,CC-WHO
JL000000020,JE000000008,1000,717.52,0.00,CC-WHO
JL000000021,JE000000008,1200,0.00,717.52,CC-WHO
JL000000022,JE000000009,1000,333.93,0.00,CC-WHO
JL000000023,JE000000009,1200,0.00,333.93,CC-WHO
JL000000024,JE000000010,1600,1212.20,0.00,CC-WHO
JL000000025,JE000000010,1000,0.00,1212.20,CC-WHO
JL000000026,JE000000011,1200,514.11,0.00,CC-HLD
JL000000027,JE000000011,3000,0.00,432.02,CC-HLD
JL000000028,JE000000011,1776,0.00,82.08,CC-HLD
JL000000029,JE000000012,1200,444.53,0.00,CC-HLD
JL000000030,JE000000012,3000,0.00,373.56,CC-HLD
JL000000031,JE000000012,1776,0.00,70.98,CC-HLD
JL000000032,JE000000013,4000,1038.26,0.00,CC-HLD
JL000000033,JE000000013,1400,0.00,0.00,CC-HLD
JL000000034,JE000000013,1600,0.00,1038.26,CC-HLD
