payment_id,invoice_id,client_id,payment_date,currency_code,payment_amount,payment_amount_eur,payment_method,is_partial
PAY000000001,INV000000001,CLI000000001,2023-01-21,EUR,5749.26,5749.26,DIRECT_DEBIT,False
PAY000000002,INV000000002,CLI000000001,2023-03-14,EUR,316.97,316.97,CARD,False
PAY000000003,INV000000003,CLI000000001,2023-03-27,EUR,717.52,717.52,BANK_TRANSFER,False
PAY000000004,INV000000004,CLI000000001,2023-02-12,EUR,333.93,333.93,DIRECT_DEBIT,False
PAY000000005,INV000000005,CLI000000001,2023-02-25,EUR,1212.20,1212.20,CARD,False
PAY000000006,INV000000006,CLI000000002,2023-01-29,EUR,514.11,514.11,BANK_TRANSFER,False
PAY000000007,INV000000008,CLI000000002,2023-02-02,EUR,1038.26,1038.26,BANK_TRANSFER,False
PAY000000008,INV000000009,CLI000000003,2023-03-16,EUR,442.79,442.79,BANK_TRANSFER,False
PAY000000009,INV000000010,CLI000000003,2023-03-08,EUR,1119.09,1119.09,CARD,False
PAY000000010,INV000000011,CLI000000003,2023-02-04,EUR,2369.21,2369.21,DIRECT_DEBIT,False
PAY000000011,INV000000012,CLI000000003,2023-01-23,EUR,577.61,577.61,DIRECT_DEBIT,False
PAY000000012,INV000000013,CLI000000003,2023-02-03,EUR,495.43,495.43,CARD,False
PAY000000013,INV000000014,CLI000000003,2023-01-15,EUR,438.84,438.84,CARD,False
PAY000000014,INV000000015,CLI000000003,2023-03-04,EUR,1480.06,1480.06,BANK_TRANSFER,False
PAY000000015,INV000000016,CLI000000003,2023-04-17,EUR,109.75,109.75,CARD,False
PAY000000016,INV000000017,CLI000000003,2023-03-06,EUR,482.60,482.60,CARD,False
PAY000000017,INV000000018,CLI000000003,2023-03-10,EUR,1389.12,1389.12,DIRECT_DEBIT,False
PAY000000018,INV000000019,CLI000000004,2023-03-15,EUR,578.49,578.49,CARD,False
PAY000000019,INV000000020,CLI000000004,2023-01-27,EUR,911.35,911.35,DIRECT_DEBIT,False
PAY000000020,INV000000021,CLI000000004,2023-03-15,EUR,871.77,871.77,CARD,False
PAY000000021,INV000000023,CLI000000004,2023-03-10,EUR,1360.82,1360.82,BANK_TRANSFER,False
PAY000000022,INV000000024,CLI000000004,2023-03-03,EUR,2153.27,2153.27,CARD,False
PAY000000023,INV000000025,CLI000000004,2023-03-27,EUR,2471.40,2471.40,CARD,False
PAY000000024,INV000000027,CLI000000004,2023-03-27,EUR,362.62,362.62,BANK_TRANSFER,False
PAY000000025,INV000000028,CLI000000004,2023-04-13,EUR,104.01,104.01,DIRECT_DEBIT,True
PAY000000026,INV000000029,CLI000000005,2023-04-02,EUR,386.12,386.12,CARD,False
PAY000000027,INV000000030,CLI000000005,2023-03-19,EUR,1026.38,1026.38,DIRECT_DEBIT,False
PAY000000028,INV000000032,CLI000000005,2023-03-09,EUR,375.15,375.15,BANK_TRANSFER,False
PAY000000029,INV000000033,CLI000000005,2023-02-02,EUR,1120.22,1120.22,DIRECT_DEBIT,False
PAY000000030,INV000000034,CLI000000005,2023-02-01,EUR,51.51,51.51,CARD,False
PAY000000031,INV000000035,CLI000000005,2023-03-12,EUR,1173.21,1173.21,CARD,True
PAY000000032,INV000000036,CLI000000005,2023-04-23,EUR,1246.89,1246.89,BANK_TRANSFER,False
PAY000000033,INV000000037,CLI000000005,2023-03-08,EUR,305.91,305.91,BANK_TRANSFER,False
PAY000000034,INV000000038,CLI000000005,2023-03-05,EUR,1520.64,1520.64,DIRECT_DEBIT,False
PAY000000035,INV000000039,CLI000000006,2023-02-01,EUR,476.55,476.55,BANK_TRANSFER,False
PAY000000036,INV000000040,CLI000000006,2023-01-10,EUR,441.25,441.25,CARD,False
PAY000000037,INV000000041,CLI000000006,2023-02-01,EUR,1290.98,1290.98,DIRECT_DEBIT,False
PAY000000038,INV000000042,CLI000000006,2023-03-05,EUR,110.41,110.41,CARD,False
PAY000000039,INV000000043,CLI000000006,2023-02-19,EUR,1187.20,1187.20,BANK_TRANSFER,False
PAY000000040,INV000000044,CLI000000006,2023-04-05,EUR,934.17,934.17,BANK_TRANSFER,False
PAY000000041,INV000000045,CLI000000006,2023-04-19,EUR,1719.83,1719.83,BANK_TRANSFER,False
PAY000000042,INV000000047,CLI000000007,2023-03-26,EUR,2527.20,2527.20,CARD,False
PAY000000043,INV000000049,CLI000000007,2023-02-05,EUR,440.85,440.85,CARD,False
PAY000000044,INV000000050,CLI000000007,2023-03-14,EUR,1168.71,1168.71,BANK_TRANSFER,False
PAY000000045,INV000000051,CLI000000007,2023-04-08,DKK,791.24,791.24,CARD,False
PAY000000046,INV000000052,CLI000000008,2023-02-09,EUR,347.59,347.59,CARD,False
PAY000000047,INV000000053,CLI000000008,2023-01-27,EUR,1558.07,1558.07,DIRECT_DEBIT,False
PAY000000048,INV000000059,CLI000000008,2023-03-02,EUR,276.43,276.43,CARD,False
PAY000000049,INV000000060,CLI000000008,2023-03-31,EUR,633.36,633.36,DIRECT_DEBIT,True
PAY000000050,INV000000061,CLI000000008,2023-03-15,EUR,772.38,772.38,DIRECT_DEBIT,False
PAY000000051,INV000000062,CLI000000008,2023-04-05,EUR,2824.77,2824.77,CARD,False
PAY000000052,INV000000063,CLI000000008,2023-02-26,EUR,4145.22,4145.22,CARD,True
