reconciliation_match_id,bank_transaction_id,invoice_id,matched_amount_eur,match_method,match_confidence,matched_timestamp
REC000000001,BTX000000001,INV000000001,5749.26,MANUAL,0.9227,2023-01-21T11:55:43
REC000000002,BTX000000002,INV000000002,316.97,MANUAL,0.9113,2023-03-14T16:07:29
REC000000003,BTX000000003,INV000000003,717.52,MANUAL,0.9314,2023-03-27T13:01:11
REC000000004,BTX000000004,INV000000004,333.93,AUTO,0.98,2023-02-12T16:37:06
REC000000005,BTX000000005,INV000000005,1212.20,AUTO,0.9128,2023-02-25T15:54:25
REC000000006,BTX000000006,INV000000006,514.11,AUTO,0.9461,2023-01-29T10:47:40
REC000000007,BTX000000007,INV000000008,1038.26,AUTO,0.9799,2023-02-02T17:38:05
REC000000008,BTX000000008,INV000000009,442.79,AUTO,0.9528,2023-03-16T10:03:28
REC000000009,BTX000000009,INV000000010,1119.09,AUTO,0.9494,2023-03-08T15:33:33
REC000000010,BTX000000010,INV000000011,2369.21,AUTO,0.9711,2023-02-04T08:50:40
REC000000011,BTX000000011,INV000000012,577.61,AUTO,0.9624,2023-01-23T10:58:22
REC000000012,BTX000000012,INV000000013,495.43,AUTO,0.9944,2023-02-03T12:35:24
REC000000013,BTX000000013,INV000000014,438.84,AUTO,0.9116,2023-01-15T12:11:13
REC000000014,BTX000000014,INV000000015,1480.06,AUTO,0.9143,2023-03-04T14:40:50
REC000000015,BTX000000015,INV000000016,109.75,AUTO,0.9362,2023-04-17T08:39:22
REC000000016,BTX000000016,INV000000017,482.60,AUTO,0.9573,2023-03-06T16:50:32
REC000000017,BTX000000017,INV000000018,1389.12,AUTO,0.9161,2023-03-10T11:46:42
REC000000018,BTX000000018,INV000000019,578.49,AUTO,0.9922,2023-03-15T09:16:49
REC000000019,BTX000000019,INV000000020,911.35,AUTO,0.9167,2023-01-27T10:57:45
REC000000020,BTX000000020,INV000000021,871.77,AUTO,0.9595,2023-03-15T12:57:19
REC000000021,BTX000000021,INV000000023,1360.82,AUTO,0.9353,2023-03-10T17:56:53
REC000000022,BTX000000022,INV000000024,2153.27,AUTO,0.9894,2023-03-03T13:48:25
REC000000023,BTX000000023,INV000000025,2471.40,AUTO,0.9505,2023-03-27T16:17:52
REC000000024,BTX000000024,INV000000027,362.62,MANUAL,0.9405,2023-03-27T13:48:09
REC000000025,BTX000000025,INV000000028,104.01,AUTO,0.9904,2023-04-13T10:20:59
REC000000026,BTX000000026,INV000000029,386.12,AUTO,0.9854,2023-04-02T08:53:25
REC000000027,BTX000000027,INV000000030,1026.38,AUTO,0.9643,2023-03-19T13:18:29
REC000000028,BTX000000028,INV000000032,375.15,AUTO,0.9201,2023-03-09T10:46:29
REC000000029,BTX000000029,INV000000033,1120.22,AUTO,0.9675,2023-02-02T14:52:27
REC000000030,BTX000000030,INV000000034,51.51,MANUAL,0.953,2023-02-01T11:00:16
REC000000031,BTX000000031,INV000000035,1173.21,MANUAL,0.9323,2023-03-12T13:09:17
REC000000032,BTX000000032,INV000000036,1246.89,AUTO,0.9943,2023-04-23T08:15:13
REC000000033,BTX000000033,INV000000037,305.91,AUTO,0.9311,2023-03-08T11:48:55
REC000000034,BTX000000034,INV000000038,1520.64,AUTO,0.9795,2023-03-05T13:15:19
REC000000035,BTX000000035,INV000000039,476.55,AUTO,0.9606,2023-02-01T11:47:09
REC000000036,BTX000000036,INV000000040,441.25,AUTO,0.9397,2023-01-10T14:36:53
REC000000037,BTX000000037,INV000000041,1290.98,AUTO,0.9815,2023-02-01T10:08:46
REC000000038,BTX000000038,INV000000042,110.41,AUTO,0.9493,2023-03-05T09:21:38
REC000000039,BTX000000039,INV000000043,1187.20,AUTO,0.942,2023-02-19T14:27:11
REC000000040,BTX000000040,INV000000044,934.17,AUTO,0.9174,2023-04-05T10:24:45
REC000000041,BTX000000041,INV000000045,1719.83,AUTO,0.9785,2023-04-19T09:08:05
REC000000042,BTX000000042,INV000000047,2527.20,MANUAL,0.9424,2023-03-26T16:38:40
REC000000043,BTX000000043,INV000000049,440.85,MANUAL,0.9398,2023-02-05T14:06:00
REC000000044,BTX000000044,INV000000050,1168.71,AUTO,0.982,2023-03-14T16:11:23
REC000000045,BTX000000045,INV000000051,791.24,AUTO,0.9628,2023-04-08T13:22:54
REC000000046,BTX000000046,INV000000052,347.59,MANUAL,0.9825,2023-02-09T17:22:34
REC000000047,BTX000000047,INV000000053,1558.07,AUTO,0.9775,2023-01-27T14:58:03
REC000000048,BTX000000048,INV000000059,276.43,AUTO,0.9255,2023-03-02T15:49:04
REC000000049,BTX000000049,INV000000060,633.36,AUTO,0.9462,2023-03-31T18:34:34
REC000000050,BTX000000050,INV000000061,772.38,MANUAL,0.924,2023-03-15T13:25:37
REC000000051,BTX000000051,INV000000062,2824.77,AUTO,0.9178,2023-04-05T14:07:29
REC000000052,BTX000000052,INV000000063,4145.22,AUTO,0.9223,2023-02-26T08:10:31
