tax_filing_id,client_id,filing_type,filing_period,statutory_deadline,internal_deadline,prepared_date,reviewed_date,submitted_date,status,amendment_count,penalty_risk
TAX000000001,CLI000000001,VAT_RETURN,2023-01,2023-02-10,2023-02-07,2023-02-03,2023-02-04,2023-02-05,SUBMITTED,0,LOW
TAX000000002,CLI000000001,VAT_RETURN,2023-02,2023-03-10,2023-03-07,2023-03-03,2023-03-04,2023-03-05,SUBMITTED,0,LOW
TAX000000003,CLI000000004,VAT_RETURN,2023-01,2023-02-10,2023-02-07,2023-02-11,2023-02-12,2023-02-13,OVERDUE,0,HIGH
TAX000000004,CLI000000004,VAT_RETURN,2023-02,2023-03-10,2023-03-07,2023-03-03,2023-03-04,2023-03-05,SUBMITTED,0,LOW
TAX000000005,CLI000000005,VAT_RETURN,2023-01,2023-02-10,2023-02-07,2023-02-15,2023-02-16,2023-02-17,OVERDUE,0,HIGH
TAX000000006,CLI000000005,VAT_RETURN,2023-02,2023-03-10,2023-03-07,2023-03-03,2023-03-04,2023-03-05,SUBMITTED,0,LOW
TAX000000007,CLI000000006,VAT_RETURN,2023-01,2023-02-10,2023-02-07,2023-02-17,2023-02-18,2023-02-19,OVERDUE,0,HIGH
TAX000000008,CLI000000006,VAT_RETURN,2023-02,2023-03-10,2023-03-07,2023-03-03,2023-03-04,2023-03-05,SUBMITTED,0,LOW
TAX000000009,CLI000000007,VAT_RETURN,2023-01,2023-02-10,2023-02-07,2023-02-03,2023-02-04,2023-02-05,SUBMITTED,0,LOW
TAX000000010,CLI000000007,VAT_RETURN,2023-02,2023-03-10,2023-03-07,2023-03-03,2023-03-04,2023-03-05,SUBMITTED,0,LOW
TAX000000011,CLI000000008,VAT_RETURN,2023-01,2023-02-10,2023-02-07,2023-02-03,2023-02-04,2023-02-05,SUBMITTED,0,LOW
TAX000000012,CLI000000008,VAT_RETURN,2023-02,2023-03-10,2023-03-07,2023-03-15,2023-03-16,2023-03-17,OVERDUE,0,HIGH
