work_item_id,client_id,task_type_code,assigned_employee_id,reviewer_employee_id,accounting_period,created_timestamp,due_timestamp,completed_timestamp,estimated_hours,actual_hours,priority,status,blocked_reason,rework_count,on_time_flag
WRK000000001,CLI000000001,BOOKKEEP,EMP000000005,,2023-01,2023-01-21T17:24:52,2023-02-03T18:23:06,2023-02-05T18:14:30,4.5,5.19,NORMAL,COMPLETED,,0,False
WRK000000002,CLI000000001,BANK_REC,EMP000000005,,2023-01,2023-01-21T13:58:39,2023-02-03T11:41:04,2023-01-31T18:52:29,2.02,2.29,NORMAL,COMPLETED,,1,True
WRK000000003,CLI000000001,MONTH_CLOSE,EMP000000005,,2023-01,2023-01-21T08:02:19,2023-02-08T15:07:06,2023-02-09T11:56:34,2.93,3.34,NORMAL,COMPLETED,,0,False
WRK000000004,CLI000000001,PAYROLL,EMP000000005,,2023-01,2023-01-21T16:26:37,2023-02-03T10:56:26,2023-02-02T18:06:53,2.25,2.31,NORMAL,COMPLETED,,0,True
WRK000000005,CLI000000001,BOOKKEEP,EMP000000005,,2023-02,2023-02-18T15:04:57,2023-03-03T09:20:38,2023-03-06T10:04:08,4.5,5.21,NORMAL,COMPLETED,,0,False
WRK000000006,CLI000000001,BANK_REC,EMP000000005,,2023-02,2023-02-18T13:24:38,2023-03-03T16:18:29,2023-03-04T16:38:27,2.02,2.29,NORMAL,COMPLETED,,0,False
WRK000000007,CLI000000001,MONTH_CLOSE,EMP000000005,,2023-02,2023-02-18T18:41:56,2023-03-08T16:46:55,2023-03-06T11:27:28,2.93,3.53,NORMAL,COMPLETED,,0,True
WRK000000008,CLI000000001,PAYROLL,EMP000000005,,2023-02,2023-02-18T14:26:46,2023-03-03T09:20:27,2023-03-03T13:42:16,2.25,2.33,NORMAL,COMPLETED,,1,True
WRK000000009,CLI000000002,BOOKKEEP,EMP000000004,,2023-01,2023-01-21T12:13:48,2023-02-03T16:07:22,2023-02-14T14:07:18,4.5,6.01,HIGH,COMPLETED,WAITING_FOR_CLIENT,0,False
WRK000000010,CLI000000002,BANK_REC,EMP000000004,,2023-01,2023-01-21T11:25:38,2023-02-03T08:00:13,2023-02-07T12:13:49,2.02,2.2,NORMAL,COMPLETED,,0,False
WRK000000011,CLI000000002,MONTH_CLOSE,EMP000000004,,2023-01,2023-01-21T09:00:31,2023-02-08T14:11:08,2023-02-15T14:34:45,2.93,4.37,HIGH,COMPLETED,WAITING_FOR_CLIENT,0,False
WRK000000012,CLI000000002,PAYROLL,EMP000000004,,2023-01,2023-01-21T13:04:25,2023-02-03T08:27:01,2023-02-03T15:58:04,2.25,2.42,NORMAL,COMPLETED,,1,True
WRK000000013,CLI000000003,BOOKKEEP,EMP000000005,,2023-01,2023-01-21T11:08:09,2023-02-03T09:18:54,2023-02-05T09:32:49,7.5,9.57,NORMAL,COMPLETED,,0,False
WRK000000014,CLI000000003,BANK_REC,EMP000000005,,2023-01,2023-01-21T17:08:38,2023-02-03T14:09:10,2023-01-31T10:53:44,3.38,3.87,NORMAL,COMPLETED,,1,True
WRK000000015,CLI000000003,MONTH_CLOSE,EMP000000005,,2023-01,2023-01-21T13:43:46,2023-02-08T11:28:39,2023-02-07T12:48:47,4.88,5.73,NORMAL,COMPLETED,,0,True
WRK000000016,CLI000000003,PAYROLL,EMP000000005,,2023-01,2023-01-21T15:57:53,2023-02-03T11:23:43,2023-02-07T17:28:29,3.75,3.58,NORMAL,COMPLETED,,0,False
WRK000000017,CLI000000003,BOOKKEEP,EMP000000005,,2023-02,2023-02-18T13:08:02,2023-03-03T13:34:21,2023-03-01T18:11:53,7.5,8.98,NORMAL,COMPLETED,,0,True
WRK000000018,CLI000000003,BANK_REC,EMP000000005,,2023-02,2023-02-18T10:51:08,2023-03-03T09:45:49,2023-03-07T15:02:18,3.38,4.36,NORMAL,COMPLETED,,0,False
WRK000000019,CLI000000003,MONTH_CLOSE,EMP000000005,,2023-02,2023-02-18T08:20:59,2023-03-08T12:32:25,2023-03-08T16:30:16,4.88,4.24,NORMAL,COMPLETED,,0,True
