internal_payment_id,merchant_order_id,occurred_at,gross_amount,currency,payment_status,payment_method,synthetic_customer_reference
SYNTH-INT-000001,SYNTH-ORDER-000001,2026-01-01T02:27:44Z,1278.74,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000001
SYNTH-INT-000002,SYNTH-ORDER-000002,2026-01-02T05:08:40Z,959.03,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000002
SYNTH-INT-000003,SYNTH-ORDER-000003,2026-01-03T07:04:48Z,1304.44,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000003
SYNTH-INT-000004,SYNTH-ORDER-000004,2026-01-04T09:00:30Z,1506.47,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000004
SYNTH-INT-000005,SYNTH-ORDER-000005,2026-01-05T11:08:02Z,2052.98,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000005
SYNTH-INT-000006,SYNTH-ORDER-000006,2026-01-06T14:02:17Z,2487.43,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000006
SYNTH-INT-000007,SYNTH-ORDER-000007,2026-01-07T15:36:20Z,765.03,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000007
SYNTH-INT-000008,SYNTH-ORDER-000008,2026-01-01T18:20:17Z,2425.32,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000008
SYNTH-INT-000009,SYNTH-ORDER-000009,2026-01-02T20:35:01Z,335.41,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000009
SYNTH-INT-000010,SYNTH-ORDER-000010,2026-01-03T22:38:14Z,2485.50,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000010
SYNTH-INT-000011,SYNTH-ORDER-000011,2026-01-04T00:48:49Z,2445.44,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000011
SYNTH-INT-000012,SYNTH-ORDER-000012,2026-01-05T03:08:12Z,2081.43,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000012
SYNTH-INT-000013,SYNTH-ORDER-000013,2026-01-06T04:55:39Z,913.23,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000013
SYNTH-INT-000014,SYNTH-ORDER-000014,2026-01-07T06:56:01Z,337.01,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000014
SYNTH-INT-000015,SYNTH-ORDER-000015,2026-01-01T09:38:10Z,2300.72,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000015
SYNTH-INT-000016,SYNTH-ORDER-000016,2026-01-02T11:14:55Z,1287.29,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000016
SYNTH-INT-000017,SYNTH-ORDER-000017,2026-01-03T13:31:42Z,761.14,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000017
SYNTH-INT-000018,SYNTH-ORDER-000018,2026-01-04T16:33:03Z,1163.21,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000018
SYNTH-INT-000019,SYNTH-ORDER-000019,2026-01-05T18:42:37Z,1073.80,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000019
SYNTH-INT-000020,SYNTH-ORDER-000020,2026-01-06T20:19:42Z,48.73,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000020
SYNTH-INT-000021,SYNTH-ORDER-000021,2026-01-07T22:22:47Z,729.25,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000021
SYNTH-INT-000022,SYNTH-ORDER-000022,2026-01-01T00:28:02Z,1387.06,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000022
SYNTH-INT-000023,SYNTH-ORDER-000023,2026-01-02T02:41:02Z,1437.16,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000023
SYNTH-INT-000024,SYNTH-ORDER-000024,2026-01-03T05:28:03Z,1268.90,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000024
SYNTH-INT-000025,SYNTH-ORDER-000025,2026-01-04T07:22:22Z,1602.31,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000025
SYNTH-INT-000026,SYNTH-ORDER-000026,2026-01-05T09:43:38Z,2124.09,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000026
SYNTH-INT-000027,SYNTH-ORDER-000027,2026-01-06T11:45:06Z,2255.68,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000027
SYNTH-INT-000028,SYNTH-ORDER-000028,2026-01-07T14:30:33Z,1215.62,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000028
SYNTH-INT-000029,SYNTH-ORDER-000029,2026-01-01T16:35:28Z,2232.77,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000029
SYNTH-INT-000030,SYNTH-ORDER-000030,2026-01-02T18:16:47Z,1815.34,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000030
SYNTH-INT-000031,SYNTH-ORDER-000031,2026-01-03T20:24:20Z,571.97,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000031
SYNTH-INT-000032,SYNTH-ORDER-000032,2026-01-04T22:29:57Z,1173.13,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000032
SYNTH-INT-000033,SYNTH-ORDER-000033,2026-01-05T00:41:28Z,1959.72,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000033
SYNTH-INT-000034,SYNTH-ORDER-000034,2026-01-06T03:10:33Z,1682.53,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000034
SYNTH-INT-000035,SYNTH-ORDER-000035,2026-01-07T05:42:56Z,440.56,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000035
SYNTH-INT-000036,SYNTH-ORDER-000036,2026-01-01T07:12:57Z,1204.12,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000036
SYNTH-INT-000037,SYNTH-ORDER-000037,2026-01-02T10:15:45Z,1174.22,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000037
SYNTH-INT-000038,SYNTH-ORDER-000038,2026-01-03T12:24:56Z,1871.76,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000038
SYNTH-INT-000039,SYNTH-ORDER-000039,2026-01-04T13:51:28Z,722.00,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000039
SYNTH-INT-000040,SYNTH-ORDER-000040,2026-01-05T16:49:57Z,445.09,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000040
SYNTH-INT-000041,SYNTH-ORDER-000041,2026-01-06T18:22:29Z,2333.15,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000041
SYNTH-INT-000042,SYNTH-ORDER-000042,2026-01-07T20:32:55Z,802.72,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000042
SYNTH-INT-000043,SYNTH-ORDER-000043,2026-01-01T23:17:38Z,596.11,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000043
SYNTH-INT-000044,SYNTH-ORDER-000044,2026-01-02T01:22:38Z,888.02,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000044
SYNTH-INT-000045,SYNTH-ORDER-000045,2026-01-03T03:47:12Z,308.61,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000045
SYNTH-INT-000046,SYNTH-ORDER-000046,2026-01-04T05:19:49Z,1365.15,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000046
SYNTH-INT-000047,SYNTH-ORDER-000047,2026-01-05T08:16:41Z,2191.81,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000047
SYNTH-INT-000048,SYNTH-ORDER-000048,2026-01-06T10:27:06Z,460.95,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000048
SYNTH-INT-000049,SYNTH-ORDER-000049,2026-01-07T12:11:49Z,1040.18,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000049
SYNTH-INT-000050,SYNTH-ORDER-000050,2026-01-01T14:33:46Z,89.08,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000050
SYNTH-INT-000051,SYNTH-ORDER-000051,2026-01-02T16:48:12Z,1615.84,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000051
SYNTH-INT-000052,SYNTH-ORDER-000052,2026-01-03T19:18:37Z,212.38,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000052
SYNTH-INT-000053,SYNTH-ORDER-000053,2026-01-04T20:46:02Z,2297.97,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000053
SYNTH-INT-000054,SYNTH-ORDER-000054,2026-01-05T23:41:58Z,1077.69,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000054
SYNTH-INT-000055,SYNTH-ORDER-000055,2026-01-06T01:46:27Z,1653.82,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000055
SYNTH-INT-000056,SYNTH-ORDER-000056,2026-01-07T03:55:31Z,1581.67,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000056
SYNTH-INT-000057,SYNTH-ORDER-000057,2026-01-01T06:08:05Z,277.33,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000057
SYNTH-INT-000058,SYNTH-ORDER-000058,2026-01-02T08:31:40Z,1903.21,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000058
SYNTH-INT-000059,SYNTH-ORDER-000059,2026-01-03T10:11:50Z,2495.80,USD,CAPTURED,TRANSFER_SYNTHETIC,SYNTH-CUSTOMER-000059
SYNTH-INT-000060,SYNTH-ORDER-000060,2026-01-04T12:42:13Z,714.24,USD,CAPTURED,CARD_SYNTHETIC,SYNTH-CUSTOMER-000060
SYNTH-INT-000061,SYNTH-ORDER-000061,2026-01-05T14:53:18Z,1271.68,USD,CAPTURED,WALLET_SYNTHETIC,SYNTH-CUSTOMER-000061
