processor_transaction_id,merchant_order_id,processor_event_type,processor_event_time,gross_amount,fee_amount,net_amount,currency,settlement_batch_id,processor_status
SYNTH-PROC-000001,SYNTH-ORDER-000001,CAPTURE,2026-01-01T02:37:44Z,1278.74,37.38,1241.36,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000002,SYNTH-ORDER-000002,CAPTURE,2026-01-02T05:18:40Z,959.03,28.11,930.92,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000003,SYNTH-ORDER-000003,CAPTURE,2026-01-03T07:14:48Z,1304.44,38.13,1266.31,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000004,SYNTH-ORDER-000004,CAPTURE,2026-01-04T09:10:30Z,1506.47,43.99,1462.48,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000005,SYNTH-ORDER-000005,CAPTURE,2026-01-05T11:18:02Z,2052.98,59.84,1993.14,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000006,SYNTH-ORDER-000006,CAPTURE,2026-01-06T14:12:17Z,2487.43,72.44,2414.99,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000007,SYNTH-ORDER-000007,CAPTURE,2026-01-07T15:46:20Z,765.03,22.49,742.54,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000008,SYNTH-ORDER-000008,CAPTURE,2026-01-01T18:30:17Z,2425.32,70.63,2354.69,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
SYNTH-PROC-000009,SYNTH-ORDER-000009,CAPTURE,2026-01-02T20:45:01Z,335.41,10.03,325.38,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000010,SYNTH-ORDER-000010,CAPTURE,2026-01-03T22:48:14Z,2485.50,72.38,2413.12,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000011,SYNTH-ORDER-000011,CAPTURE,2026-01-04T00:58:49Z,2445.44,71.22,2374.22,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000012,SYNTH-ORDER-000012,CAPTURE,2026-01-05T03:18:12Z,2081.43,60.66,2020.77,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000013,SYNTH-ORDER-000013,CAPTURE,2026-01-06T05:05:39Z,913.23,26.78,886.45,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000014,SYNTH-ORDER-000014,CAPTURE,2026-01-07T07:06:01Z,337.01,10.07,326.94,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000015,SYNTH-ORDER-000015,CAPTURE,2026-01-01T09:48:10Z,2300.72,67.02,2233.70,USD,SYNTH-BATCH-USD-2026-01-03-0000,SETTLED
