processor_transaction_id,merchant_order_id,processor_event_type,processor_event_time,gross_amount,fee_amount,net_amount,currency,settlement_batch_id,processor_status
SYNTH-PROC-000001,SYNTH-ORDER-000001,CAPTURE,2026-01-01T02:37:44Z,1278.74,37.38,1241.36,GBP,SYNTH-BATCH-GBP-2026-01-03-0000,SETTLED
SYNTH-PROC-000002,SYNTH-ORDER-000002,CAPTURE,2026-01-02T05:18:40Z,959.03,28.11,930.92,USD,SYNTH-BATCH-USD-2026-01-04-0000,SETTLED
SYNTH-PROC-000003,SYNTH-ORDER-000003,CAPTURE,2026-01-03T07:14:48Z,1304.44,38.13,1266.31,USD,SYNTH-BATCH-USD-2026-01-05-0000,SETTLED
SYNTH-PROC-000004,SYNTH-ORDER-000004,CAPTURE,2026-01-04T09:10:30Z,1506.47,43.99,1462.48,USD,SYNTH-BATCH-USD-2026-01-06-0000,SETTLED
SYNTH-PROC-000005,SYNTH-ORDER-000005,CAPTURE,2026-01-05T11:18:02Z,2052.98,59.84,1993.14,USD,SYNTH-BATCH-USD-2026-01-07-0000,SETTLED
SYNTH-PROC-000006,SYNTH-ORDER-000006,CAPTURE,2026-01-06T14:12:17Z,2487.43,72.44,2414.99,USD,SYNTH-BATCH-USD-2026-01-08-0000,SETTLED
SYNTH-PROC-000007,SYNTH-ORDER-000007,CAPTURE,2026-01-07T15:46:20Z,765.03,22.49,742.54,USD,SYNTH-BATCH-USD-2026-01-09-0000,SETTLED
SYNTH-PROC-000008,SYNTH-ORDER-000008,CAPTURE,2026-01-08T18:30:17Z,2425.32,70.63,2354.69,USD,SYNTH-BATCH-USD-2026-01-10-0000,SETTLED
SYNTH-PROC-000009,SYNTH-ORDER-000009,CAPTURE,2026-01-09T20:45:01Z,335.41,10.03,325.38,USD,SYNTH-BATCH-USD-2026-01-11-0000,SETTLED
SYNTH-PROC-000010,SYNTH-ORDER-000010,CAPTURE,2026-01-10T22:48:14Z,2485.50,72.38,2413.12,EUR,SYNTH-BATCH-EUR-2026-01-12-0000,SETTLED
SYNTH-PROC-000011,SYNTH-ORDER-000011,CAPTURE,2026-01-11T00:58:49Z,2445.44,71.22,2374.22,GBP,SYNTH-BATCH-GBP-2026-01-13-0000,SETTLED
SYNTH-PROC-000012,SYNTH-ORDER-000012,CAPTURE,2026-01-12T03:18:12Z,2081.43,60.66,2020.77,USD,SYNTH-BATCH-USD-2026-01-14-0000,SETTLED
SYNTH-PROC-000013,SYNTH-ORDER-000013,CAPTURE,2026-01-13T05:05:39Z,913.23,26.78,886.45,USD,SYNTH-BATCH-USD-2026-01-15-0000,SETTLED
SYNTH-PROC-000014,SYNTH-ORDER-000014,CAPTURE,2026-01-14T07:06:01Z,337.01,10.07,326.94,USD,SYNTH-BATCH-USD-2026-01-16-0000,SETTLED
SYNTH-PROC-000015,SYNTH-ORDER-000015,CAPTURE,2026-01-15T09:48:10Z,2300.72,67.02,2233.70,USD,SYNTH-BATCH-USD-2026-01-17-0000,SETTLED
SYNTH-PROC-000016,SYNTH-ORDER-000016,CAPTURE,2026-01-16T11:24:55Z,1287.29,37.63,1249.66,USD,SYNTH-BATCH-USD-2026-01-18-0000,SETTLED
SYNTH-PROC-000017,SYNTH-ORDER-000017,CAPTURE,2026-01-17T13:41:42Z,761.14,22.37,738.77,USD,SYNTH-BATCH-USD-2026-01-19-0000,SETTLED
SYNTH-PROC-000018,SYNTH-ORDER-000018,CAPTURE,2026-01-18T16:43:03Z,1163.21,34.03,1129.18,USD,SYNTH-BATCH-USD-2026-01-20-0000,SETTLED
SYNTH-PROC-000019,SYNTH-ORDER-000019,CAPTURE,2026-01-19T18:52:37Z,1073.80,31.44,1042.36,USD,SYNTH-BATCH-USD-2026-01-21-0000,SETTLED
SYNTH-PROC-000020,SYNTH-ORDER-000020,CAPTURE,2026-01-20T20:29:42Z,48.73,1.71,47.02,EUR,SYNTH-BATCH-EUR-2026-01-22-0000,SETTLED
SYNTH-PROC-000021,SYNTH-ORDER-000021,CAPTURE,2026-01-21T22:32:47Z,729.25,21.45,707.80,GBP,SYNTH-BATCH-GBP-2026-01-23-0000,SETTLED
SYNTH-PROC-000022,SYNTH-ORDER-000022,CAPTURE,2026-01-22T00:38:02Z,1387.06,40.52,1346.54,USD,SYNTH-BATCH-USD-2026-01-24-0000,SETTLED
SYNTH-PROC-000023,SYNTH-ORDER-000023,CAPTURE,2026-01-23T02:51:02Z,1437.16,41.98,1395.18,USD,SYNTH-BATCH-USD-2026-01-25-0000,SETTLED
SYNTH-PROC-000024,SYNTH-ORDER-000024,CAPTURE,2026-01-24T05:38:03Z,1268.90,37.10,1231.80,USD,SYNTH-BATCH-USD-2026-01-26-0000,SETTLED
SYNTH-PROC-000025,SYNTH-ORDER-000025,CAPTURE,2026-01-25T07:32:22Z,1602.31,46.77,1555.54,USD,SYNTH-BATCH-USD-2026-01-27-0000,SETTLED
SYNTH-PROC-000026,SYNTH-ORDER-000026,CAPTURE,2026-01-26T09:53:38Z,2124.09,61.90,2062.19,USD,SYNTH-BATCH-USD-2026-01-28-0000,SETTLED
SYNTH-PROC-000027,SYNTH-ORDER-000027,CAPTURE,2026-01-27T11:55:06Z,2255.68,65.71,2189.97,USD,SYNTH-BATCH-USD-2026-01-29-0000,SETTLED
