bank_entry_id,settlement_batch_id,booked_at,credited_amount,currency,bank_reference,description
SYNTH-BANK-000001,SYNTH-BATCH-AMOUNT-BREAK-000231,2026-01-15T04:32:38Z,773.33,GBP,SYNTH-BANK-REF-000001,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-000231
SYNTH-BANK-000002,SYNTH-BATCH-AMOUNT-BREAK-001822,2026-01-25T00:58:55Z,406.30,USD,SYNTH-BANK-REF-000002,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-001822
SYNTH-BANK-000003,SYNTH-BATCH-AMOUNT-BREAK-002177,2026-01-08T13:29:13Z,1074.02,USD,SYNTH-BANK-REF-000003,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-002177
SYNTH-BANK-000004,SYNTH-BATCH-AMOUNT-BREAK-002405,2026-01-19T11:06:36Z,1086.61,USD,SYNTH-BANK-REF-000004,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-002405
SYNTH-BANK-000005,SYNTH-BATCH-AMOUNT-BREAK-002775,2026-01-17T08:38:50Z,1868.47,USD,SYNTH-BANK-REF-000005,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-002775
SYNTH-BANK-000006,SYNTH-BATCH-AMOUNT-BREAK-003399,2026-01-21T13:42:52Z,377.75,USD,SYNTH-BANK-REF-000006,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-003399
SYNTH-BANK-000007,SYNTH-BATCH-AMOUNT-BREAK-003853,2026-01-10T04:40:33Z,650.56,USD,SYNTH-BANK-REF-000007,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-003853
SYNTH-BANK-000008,SYNTH-BATCH-AMOUNT-BREAK-006386,2026-02-01T08:08:28Z,222.11,USD,SYNTH-BANK-REF-000008,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-006386
SYNTH-BANK-000009,SYNTH-BATCH-AMOUNT-BREAK-007650,2026-01-25T04:03:35Z,262.63,EUR,SYNTH-BANK-REF-000009,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-007650
SYNTH-BANK-000010,SYNTH-BATCH-AMOUNT-BREAK-008555,2026-01-31T02:51:36Z,1394.41,USD,SYNTH-BANK-REF-000010,Synthetic settlement for SYNTH-BATCH-AMOUNT-BREAK-008555
