scenario_id,result_scope,work_key,settlement_batch_id,internal_payment_id,processor_transaction_id,bank_entry_id,expected_outcome,expected_reason_code,expected_difference,explanation
month-end-close,ORDER,SYNTH-ORDER-000001,,SYNTH-INT-000001,SYNTH-PROC-000001,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000002,,SYNTH-INT-000002,SYNTH-PROC-000002,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000003,,SYNTH-INT-000003,SYNTH-PROC-000003,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000004,,SYNTH-INT-000004,SYNTH-PROC-000004,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000005,,SYNTH-INT-000005,SYNTH-PROC-000005,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000006,,SYNTH-INT-000006,SYNTH-PROC-000006,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000007,,SYNTH-INT-000007,SYNTH-PROC-000007,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000008,,SYNTH-INT-000008,SYNTH-PROC-000008,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000009,,SYNTH-INT-000009,SYNTH-PROC-000009,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000010,,SYNTH-INT-000010,SYNTH-PROC-000010,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000011,,SYNTH-INT-000011,SYNTH-PROC-000011,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000012,,SYNTH-INT-000012,SYNTH-PROC-000012,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000013,,SYNTH-INT-000013,SYNTH-PROC-000013,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000014,,SYNTH-INT-000014,SYNTH-PROC-000014,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000015,,SYNTH-INT-000015,SYNTH-PROC-000015,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000016,,SYNTH-INT-000016,SYNTH-PROC-000016,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000017,,SYNTH-INT-000017,SYNTH-PROC-000017,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000018,,SYNTH-INT-000018,SYNTH-PROC-000018,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000019,,SYNTH-INT-000019,SYNTH-PROC-000019,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000020,,SYNTH-INT-000020,SYNTH-PROC-000020,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000021,,SYNTH-INT-000021,SYNTH-PROC-000021,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000022,,SYNTH-INT-000022,SYNTH-PROC-000022,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000023,,SYNTH-INT-000023,SYNTH-PROC-000023,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000024,,SYNTH-INT-000024,SYNTH-PROC-000024,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000025,,SYNTH-INT-000025,SYNTH-PROC-000025,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000026,,SYNTH-INT-000026,SYNTH-PROC-000026,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000027,,SYNTH-INT-000027,SYNTH-PROC-000027,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000028,,SYNTH-INT-000028,SYNTH-PROC-000028,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000029,,SYNTH-INT-000029,SYNTH-PROC-000029,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000030,,SYNTH-INT-000030,SYNTH-PROC-000030,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000031,,SYNTH-INT-000031,SYNTH-PROC-000031,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000032,,SYNTH-INT-000032,SYNTH-PROC-000032,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000033,,SYNTH-INT-000033,SYNTH-PROC-000033,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000034,,SYNTH-INT-000034,SYNTH-PROC-000034,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000035,,SYNTH-INT-000035,SYNTH-PROC-000035,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000036,,SYNTH-INT-000036,SYNTH-PROC-000036,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000037,,SYNTH-INT-000037,SYNTH-PROC-000037,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000038,,SYNTH-INT-000038,SYNTH-PROC-000038,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000039,,SYNTH-INT-000039,SYNTH-PROC-000039,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000040,,SYNTH-INT-000040,SYNTH-PROC-000040,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000041,,SYNTH-INT-000041,SYNTH-PROC-000041,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000042,,SYNTH-INT-000042,SYNTH-PROC-000042,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000043,,SYNTH-INT-000043,SYNTH-PROC-000043,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000044,,SYNTH-INT-000044,SYNTH-PROC-000044,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000045,,SYNTH-INT-000045,SYNTH-PROC-000045,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000046,,SYNTH-INT-000046,SYNTH-PROC-000046,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000047,,SYNTH-INT-000047,SYNTH-PROC-000047,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000048,,SYNTH-INT-000048,SYNTH-PROC-000048,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000049,,SYNTH-INT-000049,SYNTH-PROC-000049,,MATCHED,L1_EXACT_ORDER_MATCH,0.00,"Merchant order ID, currency, gross amount and configured processor fee all match."
month-end-close,ORDER,SYNTH-ORDER-000050,,SYNTH-INT-000050,SYNTH-PROC-000050-REFUND,,PARTIAL_REFUND,L1_PARTIAL_REFUND_LINK,44.54,The refund is linked to its original payment and reverses part of the gross amount.
